Chunk 10 sent to API:
ID000 民怨沸腾（ai）
ID001 群情激愤
ID002 连年的战争与负债使我神经紧绷，终于，就在今天，我的护卫跌跌撞撞的冲进来告诉我：愤怒的民众正在举行集会，准备推翻我的统治！\n我待他们不薄，他们为什么要这么对我！\n这群该死的贱民！
ID003 得赶紧想个法子安抚他们。
ID004 我的话事人带来了消息，民众的怒火平息了，他们甚至捐赠了一批物资给我
ID005 我的演讲跟屎一样，我完了
ID006 派出军队，让贱民们见识见识刀剑的威力！
ID007 我的护卫们大步冲向人群，乱刀砍死了几个带头闹事的贱民
ID008 贱民们的战斗力超乎我的想象，我完了
ID009 随他们去吧。
ID010 事情越来越脱离你的控制
ID011 举行大阅兵
ID012 我的军队需要我，我的人民需要我，我封臣需要我。\n我精心准备了一场大阅兵，这肯定能起到很大的作用。
ID013 阅兵进展很顺利
ID014 准备阅兵！
ID015 开始吧！
ID016 大阅兵
ID017 阅兵现场人头攒动，各部门列好队形等待检阅。我准备了很多份演讲稿，只待阅兵结束就发表慰问词\n但是天色已晚，剩下的时间不多了，我应该先向谁致辞？
ID018 先从我手下冲锋在前的勇士们开始
ID019 我应该表现的更加亲近底层战士些
ID020 没有我亲爱的封臣就没有我的今天！
ID021 我最英勇的武士们齐声高呼万岁，即使隔了这么远我依旧能感受到他们的热情。
ID022 亚空间恶魔
ID023 恐虐放血鬼
ID024 色孽逐心者
ID025 成为恐虐神选！
ID026 血祭血神，颅献颅座！！！\n\n\n解除封印开启大远征（点之前记得存档，后果不可逆，放出什么神仙本人概不负责）
ID027 血祭血神，颅献颅座！！！
ID028 血祭血神，颅献颅座！！！
ID029 成为色孽神选！
ID030 享受无尽的欢愉吧！！！\n\n\n解除封印开启大远征（点之前记得存档，后果不可逆，放出什么神仙本人概不负责）
ID031 享受无尽的欢愉吧！！！
ID032 享受无尽的欢愉吧！！！
ID033 征召牧民参战
ID034 应召而来的[GetMaA('caoyuanyoumumin_shijian').GetName]的数量和费用根据你的[realm_size|E]、[martial_skill|E]和#V $当前总兵力$#!决定。
ID035 为了草原的荣耀！
ID036 吹响号角！
ID037 组建瓦兰吉卫队(ai)
ID038 组建瓦兰吉卫队(ai)
ID039 组建瓦兰吉卫队(ai)
ID040 组建瓦兰吉卫队
ID041 我的忠诚的战士们在哪里？！
ID042 将有一批瓦兰吉战士慕名而来......\n你的名声在北方人的圈子里大肆传播开来，接下来的20年内都将有[GetMaA('walanjiweidui').GetName][men_at_arms|E]可供你差遣。
ID043 我需要组建一支强大并且忠诚的禁卫军！
ID044 我的信使告诉我：北方战士们很快就到！
ID045 瓦兰吉战士到来
ID046 一艘又一艘形态各异的长船停靠于港口内，剽悍的北方战士鱼贯而出，他们身上的锁子甲在阳光下折射出血污死寂般的铁黑色，我不敢相信自己的眼睛，这些强大的战士即将为我所用！\n\n我挺挺胸膛，努力摆出一位王者应有的姿态。我试图从他们深凹的眼眶里找出一丝畏惧——对于一位正站在他们面前的活生生的皇帝的畏惧。\n\n这些北方人丝毫不避讳我的目光，就这么直勾勾的与我对视。\n\n天哪！这些人的目光真让人头皮发麻......
ID047 多么无畏而强大的战士啊......
ID048 雇佣兵屠城
ID049 一群疯狂的佣兵洗劫了[county.GetNameNoTierNoTooltip]，他们夺走了当地的一切，没留一个活口......\n很显然，这群佣兵并不满足于我给的酬金

