Chunk 15 sent to API:
ID000 瑞士雇佣军
ID001 无处可去的老兵与家境贫寒的壮小伙结伴而行，旧瑞士山民的传统告诉他们战场在何方。
ID002 瑞士雇佣兵
ID003 与同乡和血亲们并肩作战，用斧枪和长矛组成阵线，无畏的步兵在推进。
ID004 公社民兵
ID005 自备武装，决心保卫城镇的轻装民兵。
ID006 公社骑兵
ID007 充分适应北意大利山区地形的轻装骑兵。
ID008 圣车
ID009 高高竖起我们的旗帜，圣车上奏响的乐曲是神圣的护身符，为了城邦的荣誉！血战到底！
ID010 圣车
ID011 牛拉圣车巡礼于沙场，战士杀敌迸发荣光。\n圣驾决计不可陷落，战士奋勇亦不惧死亡。
ID012 圣车
ID013 牛拉圣车巡礼于沙场，战士杀敌迸发荣光。\n圣驾决计不可陷落，战士奋勇亦不惧死亡。
ID014 帕维斯大盾
ID015 可靠的大型木盾，为我们的弩手提供临时掩体，亦可作为移动工事协助攻城。
ID016 巨盾弩手
ID017 装备有帕维斯大盾的弩手，他们可以在盾牌的庇护下进行精准打击。
ID018 热那亚弩手
ID019 闻名天下的热那亚精锐射手，他们的劲弩令敌人胆寒。
ID020 贝罗维耶里
ID021 意大利军团的精锐，身披罩甲的轻装骑兵。
ID022 条顿纵深防御
ID023 广布于日耳曼大地上的各式堡垒加上负责守卫城镇的伯格曼步兵，这将大大延缓敌人的攻城速度。
ID024 伯格曼重步兵
ID025 负责保卫城堡，戒备外敌的精锐步兵。
ID026 大规模册封
ID027 有钱有闲的市民和行会精英期望跻身上层社会，一个小小的骑士头衔足以满足他们。
ID028 行会骑士
ID029 被封为骑士，自费武装的市民骑手，数量可观但质量欠佳。
ID030 强盗骑士
ID031 利用堡垒优势四处劫掠的骑马强盗，他们中的一些人或许真的拥有骑士头衔，但所行之事与真正高尚的骑士相去甚远。
ID032 家臣骑士
ID033 拥有一定社会地位的日耳曼战士，他们装备精良，是帝国骑兵的主力部队。
ID034 帝国骑士
ID035 对皇帝陛下的效忠大于一切，在各大骑士家族组成的庞大网络下，每一名强大的骑士都能发光发热。
ID036 帝国骑士
ID037 身着优质哥特式板甲，战斗技艺高超的帝国骑士。
ID038 哥特式板甲
ID039 贴合人体量身打造的板甲，保证灵活性的同时更优化了整体设计，重量更轻，防御更强。
ID040 步行帝国骑士
ID041 身穿全身板甲的强悍骑士，依照日耳曼传统步行作战。
ID042 米兰式板甲
ID043 大量武器订单的涌入催生了这种别具一格的板甲风格，线条圆润的米兰式板甲以能有够有效降低箭矢杀伤而享誉世界。
ID044 水力锻锤
ID045 依靠水力驱动的庞大机械，用于粉碎矿石或是钣正金件，极大节省了厚重铠甲的锻造成本。
ID046 拜占庭军制
ID047 拜占庭军队是从晚期罗马帝国的军队进化而来的，在战略、战术和组织上都较之前变得更加复杂多样。
ID048 训练古拉姆
ID049 外敌的侵扰使我们不得不加紧军事领域的改革，我们注意到经过充分训练的奴隶战士拥有很强的战斗力，如果能进一步提高他们的组织度和纪律性，一支强大的军队将很快成型。

