Chunk 18 sent to API:
ID000 莫斯科庄园制
ID001 罗斯地区封建社会的发展与西欧是不同的。我们的王国源于核心家族联盟，我们联合起来，努力增加可用的劳动力并扩大土地生产。但这并不意味着被授予土地是某种束缚，恰恰相反，我们鼓励冒险。
ID002 波雅尔
ID003 大公卫士
ID004 自由民骑手
ID005 突厥定居者
ID006 长久的冲突消磨了各自的战斗意志，部分突厥人产生了定居此地的想法。
ID007 突厥辅兵
ID008 波雅尔末裔
ID009 穷困潦倒的波雅尔后裔，他们无法像祖先那样维持统治地位，故而大量转向军营寻找机会。
ID010 波耶维奇战士
ID011 冒险英雄
ID012 哥萨克骑兵
ID013 哥萨克骑兵以衣着鲜亮和恶名声而著称。他们聚拢为半自治的团体，过着游牧生活。如果能将他们吸纳进军队，将是一股不错的战力。
ID014 哥萨克骑兵
ID015 西伯利亚部落突袭者
ID016 武装动员
ID017 数量众多的军事贵族支撑起整个国家的战争机器，但是代价是什么呢......
ID018 什拉赫塔
ID019 波兰轻弩骑兵
ID020 翼骑兵
ID021 忠诚而强大的精锐骑兵，以其高机动性与毁灭性而闻名。
ID022 翼骑兵
ID023 雷蒂斯
ID024 萨莫吉蒂亚投枪术
ID025 波罗的森林中最有效的战争工具之一，疾驰的萨莫吉蒂亚马给予投枪千钧之力。
ID026 萨莫吉蒂亚投枪骑手
ID027 立陶宛骑射手
ID028 与你拥有相同[culture|E][heritage|E]的[vassals|E]更有可能加入[independence_factions|E]和[claimant_factions|E]，这不是一件坏事，起码在你还比较弱小的时候不是。
ID029 该[culture|E]的人民只信服诺亚后裔的统治，他们更有可以加入到反抗异[culture|E]统治者的[factions|E]中去。
ID030 自身[culture|E]拥有该[innovations|E]的角色可以通过与特定[culture|E]的角色结盟以招募强大的特色[men_at_arms|E]
ID031 大金
ID032 大金
ID033 完颜
ID034 大金
ID035 岁币
ID036 上层的无能由下层买单。
ID037 燕云十六州
ID038 立陶宛
ID039 波兰
ID040 可以在单场战争中为自己索取多个[claims|E]
ID041 中东、波斯
ID042 僧伽罗
ID043 马槊
ID044 军事上广泛使用札甲的地区
ID045 大迁徙入侵
ID046 大迁徙入侵
ID047 大迁徙
ID048 你舍弃了从前的那片天地，将你的人民和畜群迁徙至此，新的统治，开始了。
ID049 大迁徙之后

