Chunk 19 sent to API:
ID000 这片土地上的部分资源随着一次大迁徙被人为转移走了。
ID001 商议同盟
ID002 通过陈述利害关系来与[recipient.GetTitledFirstNameNoTooltip]铸就同盟——草原势力需要整合！
ID003 相同[cultural|E]：$VALUE|=+0$
ID004 商议同盟
ID005 商议同盟（游牧臣属）
ID006 通过陈述利害关系来与[recipient.GetTitledFirstNameNoTooltip]铸就同盟——促进某些共同目标的达成！
ID007 部落联盟
ID008 通过陈述利害关系来与[recipient.GetTitledFirstNameNoTooltip]铸就臣属关系——促进某些共同目标的达成！
ID009 你们的军力差异：$VALUE|=+0$
ID010 外交与同盟者：$VALUE|=+0$
ID011 有重大外部威胁：$VALUE|=+0$
ID012 势单力薄：$VALUE|=+0$
ID013 野心家：$VALUE|=+0$
ID014 召集封臣参战
ID015 召集[recipient.GetUINameNoTooltip]参战，以履行其身为臣属的义务。
ID016 防御[war|E]：$VALUE|=+0$
ID017 是[powerful_vassals|E]：$VALUE|=+0$
ID018 临近封臣同僚：$VALUE|=+0$
ID019 草场：$VALUE|=+0$
ID020 松散部落：$VALUE|=+0$
ID021 有限部落权威：$VALUE|=+0$
ID022 高部落权威：$VALUE|=+0$
ID023 绝对部落权威：$VALUE|=+0$
ID024 好战[ethos|E]：$VALUE|=+0$
ID025 集体[ethos|E]：$VALUE|=+0$
ID026 同[dynasty|E]：$VALUE|=+0$
ID027 是你的[close_family_member|E]：$VALUE|=+0$
ID028 好战：$VALUE|=+0$
ID029 封臣立场：追名逐利：$VALUE|=+0$
ID030 封臣立场：本乡本土：$VALUE|=+0$
ID031 召集加入战争（游牧同盟）
ID032 头人
ID033 额外税款
ID034 头人完成了你的任务并成功上缴税款
ID035 威严广布
ID036 头人成功散播了你之威严
ID037 头人的征召兵
ID038 头人为你召集了一队征召兵
ID039 头人的轻骑兵
ID040 头人为你召集了一队轻骑兵
ID041 头人的弓骑兵
ID042 头人为你召集了一队弓骑兵
ID043 头人的重骑兵
ID044 头人为你召集了一队重骑兵
ID045 玩家[regiment|E][stationed_holding|E]修正率
ID046 百分之六十
ID047 玩家获得[GetModifier('xinzeng_zhujun_xiuzheng_001_modifier').GetNameWithTooltip]修正，最大程度防止数据膨胀，变相调整ai难度，优化游戏竞技体验，与ai斗，其乐无穷。
ID048 百分之四十
ID049 玩家获得[GetModifier('xinzeng_zhujun_xiuzheng_002_modifier').GetNameWithTooltip]修正，对兵种叠叠乐影响不大，但也能适度减少数据膨胀速率。

