Chunk 1 sent to API:
ID000 百越雄心
ID001 百越泛指东亚沿海即大河边栖息的族群，他们曾是东亚大陆最早的定居者。
ID002 千岛之王
ID003 南岛诸族穿梭于千万岛屿，同潮汐与风暴朝昔相伴，主宰着日光之下的海域。
ID004 白山黑水
ID005 兴安岭、长白山、嫩江和黑龙江流域滋养着诸多部落，在柳树娘娘的庇佑下，他们滋生壮大，并一波波走出森林。
ID006 丛林之主
ID007 从哀牢山到武夷山，散布着剽勇的采猎族群，蚩尤争霸中原之事已成传说，而他们从未遗落光荣。
ID008 武运昌隆
ID009 大和人坚信，从神话时代起，自己受命于天；落花一瞬，哀乐有时，抚琴千日，剑心合一。
ID010 山高水丽
ID011 与中原史官认定的濊貊族系不同，高丽诸族自诩檀君之后，并曾由扶余后裔的高句丽中兴。
ID012 苍狼白鹿
ID013 敕勒川，阴山下。天似穹庐，笼盖四野。天苍苍，野茫茫。风吹草低见牛羊。
ID014 宗法传统
ID015 为了大规模密集劳作，人们聚族繁衍，厚生重死，在宗族的约束中生活，父辈拥有至高的权威，奉行家族嫡长子世袭制，不得毁伤肌体，首先孝敬亲族进而推己及人，违反宗法者则人尽可鄙。
ID016 实行可指认继承人的嫡长子世袭制
ID017 车书万里
ID018 车同轨、书同文、行同伦。早熟的大一统中央集权制度，可以组织大规模生产，而至高无上的皇权占有和处置一切。
ID019 可以招募[GetMaA('mangudai').GetName][men_at_arms|E]
ID020 可以招募[GetMaA('asia_tunguse_ss').GetName][men_at_arms|E]
ID021 可以招募[GetMaA('samurai').GetName][men_at_arms|E]
ID022 可以招募[GetMaA('java_warrior').GetName][men_at_arms|E]
ID023 可以招募[GetMaA('china_east_ms').GetName][men_at_arms|E]
ID024 可以招募[GetMaA('china_south_wd').GetName][men_at_arms|E]
ID025 契丹军制
ID026 太宗选天下精甲三十万为皮室军。初，太祖以行营为宫，选诸部豪健千馀人，置为腹心部……则皮室军自太祖时已有，即腹心部是也，太宗增多至三十万耳。
ID027 艨艟斗舰
ID028 千寻铁锁沉江底，一片降幡出石头。
ID029 独木舟
ID030 道不行，乘桴浮于海。
ID031 两京禁卫
ID032 暂辍清斋出太常，空携诗卷赴甘棠。\n府公既有朝中旧，司马应容酒后狂。\n案牍来时唯署字，风烟入兴便成章。\n两京大道多游客，每遇词人战一场。
ID033 吴钩
ID034 汉鼎不烹曹操肉，吴钩空断伍员头。
ID035 幽州良驹
ID036 文法奸酋引骑兵，飞随银鹘弓刀满。
ID037 高丽猎手
ID038 高丽其地，山广林丰；其人擅制围猎之器，尤擅制弓，盖以为军用，多良弓好手。
ID039 西蜀连弩
ID040 昔闻天兵入西蜀，鞞鼓乱挝裂岩谷。
ID041 中原军制
ID042 醉卧沙场君莫笑，古来征战几人回。
ID043 陌刀
ID044 霜矛雪甲寒如水，候卒何由知首尾。
ID045 下克上
ID046 在现有制度下运用各种手段让自己取代上级。
ID047 武士崛起
ID048 武士们伴随着社会的混乱和皇权衰落的过程而出现。
ID049 足轻

