Chunk 3 sent to API:
ID000 毫不留念的死，毫不顾忌的死，毫不犹豫的死。
ID001 渔猎
ID002 小到鱼虾鳖蟹贝、大到捕鲸，战海兽，这是一种古老的行当。
ID003 逐草而居
ID004 古代游牧民族生活的主要特征之一，一生追逐草原，熟知草原上的所有事物。
ID005 该[culture|E]的角色带领[army|E]途经#V $草原$#!或#V $平原$#!时，行军速度将大幅提升
ID006 苗疆巫蛊
ID007 先民的伟大智慧。
ID008 蚩尤血脉
ID009 传说中制造兵器的人，又传为主兵之神，与黄帝、炎帝并称中华三祖 ，被诸多苗人认为祖先。其后衍生出的苗人之凶悍团结之精神为世人所赞叹。
ID010 阿伊努部族战士
ID011 阿伊努人自称“乌塔里”，即“伙伴”，他们珍视并肩作战的族人，并以此在日本列岛的诸多纷争中艰难求生。
ID012 东北亚骑射手
ID013 充分适应东北亚茂密森林的骑射战士，比之草原上的其他游牧势力更加适应当地战争环境。
ID014 骑射手
ID015 充分适应东北亚茂密森林的骑射战士，比之草原上的其他游牧势力更加适应当地战争环境。
ID016 防人
ID017 为防临国威胁，从边区农村招募的临时性兵士。
ID018 徒武者
ID019 杀人、抢劫、强盗即为武士。
ID020 枪足轻
ID021 平常从事劳役，战时成为步卒。
ID022 北面武士
ID023 驻在院御所北面之下，守护上皇、供奉御幸的武士。
ID024 和弓手
ID025 大和民族传统弓道在战场上的延续。
ID026 薙刀郎党
ID027 使用长而锋利的薙刀作为武器，在战场上或结阵阻敌或分散掩杀，是相当难缠的对手。
ID028 高丽弓手
ID029 娴熟的弓手与猎人，穿行于朝鲜半岛复杂的山地森林之间，运用高超的射击技术予以敌人痛击。
ID030 左别抄
ID031 技艺纯熟的带盾轻步兵，知道如何避开飞来的矢雨。
ID032 别班武
ID033 为对抗女真人所创的精锐重步兵部队，是对付骑兵的好手。
ID034 花郎
ID035 少年高丽贵族自幼习武，不仅射艺超群，容貌仪态更为世人所赞叹。
ID036 禁军
ID037 独属于皇帝的军队，职责是保卫皇宫以及皇帝本人，经过层层选拔，武艺极为高强。
ID038 北衙禁军
ID039 拱卫京师的强军劲旅。
ID040 羽林军
ID041 直属于帝王，担任护卫帝王或皇宫、首都警备任务的军队。
ID042 厢军
ID043 属地方常备军，是禁军主要的来源之一。
ID044 藩镇兵
ID045 各道节度使，都团练使统领的藩镇军团。
ID046 边军
ID047 为防外敌，征募诸边镇军户参战。
ID048 地方军
ID049 各地自行征募的兵卒，质量良莠不齐。

