Chunk 3 sent to API:
ID000 我的演讲跟屎一样，我完了
ID001 派出军队，让贱民们见识见识刀剑的威力！
ID002 我的护卫们大步冲向人群，乱刀砍死了几个带头闹事的贱民
ID003 贱民们的战斗力超乎我的想象，我完了
ID004 随他们去吧。
ID005 事情越来越脱离你的控制
ID006 举行大阅兵
ID007 我的军队需要我，我的人民需要我，我封臣需要我。\n我精心准备了一场大阅兵，这肯定能起到很大的作用。
ID008 阅兵进展很顺利
ID009 准备阅兵！
ID010 开始吧！
ID011 大阅兵
ID012 阅兵现场人头攒动，各部门列好队形等待检阅。我准备了很多份演讲稿，只待阅兵结束就发表慰问词\n但是天色已晚，剩下的时间不多了，我应该先向谁致辞？
ID013 先从我手下冲锋在前的勇士们开始
ID014 我应该表现的更加亲近底层战士些
ID015 没有我亲爱的封臣就没有我的今天！
ID016 我最英勇的武士们齐声高呼万岁，即使隔了这么远我依旧能感受到他们的热情。
ID017 亚空间恶魔
ID018 恐虐放血鬼
ID019 色孽逐心者
ID020 成为恐虐神选！
ID021 血祭血神，颅献颅座！！！\n\n\n解除封印开启大远征（点之前记得存档，后果不可逆，放出什么神仙本人概不负责）
ID022 血祭血神，颅献颅座！！！
ID023 血祭血神，颅献颅座！！！
ID024 成为色孽神选！
ID025 享受无尽的欢愉吧！！！\n\n\n解除封印开启大远征（点之前记得存档，后果不可逆，放出什么神仙本人概不负责）
ID026 享受无尽的欢愉吧！！！
ID027 享受无尽的欢愉吧！！！
ID028 征召牧民参战
ID029 应召而来的[GetMaA('caoyuanyoumumin_shijian').GetName]的数量和费用根据你的[realm_size|E]、[martial_skill|E]和#V $当前总兵力$#!决定。
ID030 为了草原的荣耀！
ID031 吹响号角！
ID032 组建瓦兰吉卫队(ai)
ID033 组建瓦兰吉卫队(ai)
ID034 组建瓦兰吉卫队(ai)
ID035 组建瓦兰吉卫队
ID036 我的忠诚的战士们在哪里？！
ID037 将有一批瓦兰吉战士慕名而来......\n你的名声在北方人的圈子里大肆传播开来，接下来的20年内都将有[GetMaA('walanjiweidui').GetName][men_at_arms|E]可供你差遣。
ID038 我需要组建一支强大并且忠诚的禁卫军！
ID039 我的信使告诉我：北方战士们很快就到！
ID040 瓦兰吉战士到来
ID041 一艘又一艘形态各异的长船停靠于港口内，剽悍的北方战士鱼贯而出，他们身上的锁子甲在阳光下折射出血污死寂般的铁黑色，我不敢相信自己的眼睛，这些强大的战士即将为我所用！\n\n我挺挺胸膛，努力摆出一位王者应有的姿态。我试图从他们深凹的眼眶里找出一丝畏惧——对于一位正站在他们面前的活生生的皇帝的畏惧。\n\n这些北方人丝毫不避讳我的目光，就这么直勾勾的与我对视。\n\n天哪！这些人的目光真让人头皮发麻......
ID042 多么无畏而强大的战士啊......
ID043 雇佣兵屠城
ID044 一群疯狂的佣兵洗劫了[county.GetNameNoTierNoTooltip]，他们夺走了当地的一切，没留一个活口......\n很显然，这群佣兵并不满足于我给的酬金
ID045 该死的，他们是抢到手黄金了，那我的呢！
ID046 必须严惩！
ID047 草原动员（ai）
ID048 烈火与尖刀！！！
ID049 来啊，传我号令！
ID050 草原动员
ID051 我的族人们渴望财富，他们摩拳擦掌，跃跃欲试，很显然，我现在应该将所有能上马的战士都召集起来。
ID052 烈火与尖刀！！！
ID053 来啊，传我号令！
ID054 动员所需的威望和金钱与威望等级，威望总量，军事点数，管理点数，宗族威望等级，总兵力，政体等一系列因素均有关
ID055 草原动员
ID056 战士们奔走相告，无以计数的牧民拖家带口来到我的大帐前，无边的烟尘从地平线上升起，所有能上马的战士都汇拢了过来，焦躁与不安的气息四处弥漫，只等我一声令下......
ID057 我们需要战争！
ID058 或许我不该这么莽撞......
ID059 弓骑兵
ID060 轻骑兵
ID061 草原突骑
ID062 突厥重骑兵
ID063 重骑兵
ID064 苏格兰高地战士
ID065 穿梭于苏格兰北部高地的勇猛战士，他们的格子衫上闪耀着不屈之光。
ID066 凯尔特战士
ID067 遍布战纹、赤裸上身的凯尔特氏族战士，让不可一世的罗马军团吃尽苦头。
ID068 盎格鲁-撒克逊民兵
ID069 这些自由民兵的装备和供给堪称精良，他们平时接受强大的亲卫军的训练与监督，战斗意志格外突出。
ID070 御卫
ID071 御卫军拥有整支军队中最精良的装备，他们是王公贵族选拔出来的强大战士。
ID072 威尔士长弓手
ID073 这些强大的威尔士弓手个个射艺非凡，他们手中的紫杉长弓每一次翕动都能带走一个敌军士兵的性命。
ID074 威尔士长弓手
ID075 这些强大的威尔士弓手个个射艺非凡，他们手中的紫杉长弓每一次翕动都能带走一个敌军士兵的性命。
ID076 山地游骑兵
ID077 威尔士山区技艺高超的轻型骑兵，自由驰骋于森林与山地之间。
ID078 沼泽猎手
ID079 爱尔兰沼泽遍布，但优秀的骑手总能找到捷径。
ID080 爱尔兰投石手
ID081 投石索的使用可以追溯到石器时代的猎人先民，如果飞速掷出的石块正中目标头部，即使是一头野牛也会很快倒毙，我们精挑细选的强壮战士能够轻易做到这点。
ID082 爱尔兰投石手
ID083 投石索的使用可以追溯到石器时代的猎人先民，如果飞速掷出的石块正中目标头部，即使是一头野牛也会很快倒毙，我们精挑细选的强壮战士能够轻易做到这点。
ID084 外乡勇士
ID085 这些来自苏格兰北部高地的盖尔雇佣兵个个武艺非凡，只要钱给的到位，什么都不是问题。
ID086 盖尔老兵
ID087 这些来自苏格兰北部高地的盖尔雇佣兵闲暇之余很乐意为同族的领主效力。
ID088 阿瓦尔轻骑
ID089 阿瓦尔是一支强大的草原民族，他们的铁蹄自东方踏来。
ID090 阿瓦尔重骑兵
ID091 古老而强大的重装骑兵。
ID092 保加利亚重骑兵
ID093 保加利亚人征服阿瓦尔人后将他们编入骑兵部队，利用他们超绝的马战经验打造了这支骑兵劲旅。
ID094 保加利亚重骑兵
ID095 保加利亚人征服阿瓦尔人后将他们编入骑兵部队，利用他们超绝的马战经验打造了这支骑兵劲旅。
ID096 骠骑兵
ID097 狂战士
ID098 一旦这些战士的血液开始沸腾，只有敌人的死才能让他们感到满足。
ID099 狂战士
ID100 一旦这些战士的血液开始沸腾，只有敌人的死才能让他们感到满足。
ID101 萨尔
ID102 体面的雅尔不会让自家的奴隶拿武器上战场，但今时不同往日......
ID103 庭卫
ID104 体面的领主应该有一支自家的宫廷卫士，一群能够应对各种突发状况的强大战士。
ID105 诺曼骑兵
ID106 诺曼人将大量精力投入到骑兵训练中，他们装备相对较轻的锁子甲，并开创了夹枪冲锋这一战法，愈发适应战场上的多变形势。
ID107 方旗骑士
ID108 区别于普通骑士的锥形三角旗，这些贵族骑士有权在战场上使用象征身份与地位的方形旗帜，他们是身经百战，意志坚定的无畏斗士。
ID109 披甲军士
ID110 身披重甲的高级军事随从，作为一股不小的战力为领主服务。
ID111 学徒骑士
ID112 每一位渴望成为骑士的少年都应该着重积累实战经验，战场就是他们的校园。
ID113 克恩
ID114 克恩是一种爱尔兰轻步兵，常与盖尔佣兵一起投入战斗，他们装备简陋却战斗力非凡，常为人们所称道。
ID115 拉什顿重骑兵
ID116 这支穆斯林征服期间成立的精锐骑兵部队几乎人人都骑乘着纯血阿拉伯马，他们的长矛冲锋足以毁灭任何敌人。
ID117 阿莫里坎重骑兵
ID118 受阿兰人与晚期罗马军制影响，布列塔尼人大量运用骑兵作战，他们的特点是纪律性极强，协同作战能力好。
ID119 阿比德步兵
