Chunk 2 sent to API:
ID000 安闲自得
ID001 生命很重要，快乐更重要。
ID002 该[culture|E]有$ethos_courtly_name$的[ethos|E]
ID003 骑士收容
ID004 骄傲的骑士总是不善于经营自家地产，落魄的他们选择了完全依附于其他富裕的统治者。
ID005 落魄骑士
ID006 落魄到除了一身武力别无所有的封建骑士，带领一小队侍从依附在富裕的统治者治下，奢望着再次发迹的一天。
ID007 可以招募[GetMaA('luopoqishi').GetName]作为[men_at_arms|E]
ID008 该[culture|E]没有$ethos_spiritual_name$的[ethos|E]
ID009 陆上商队
ID010 驼铃声声，岁月悠悠，陆路的贯通催生出了大批的商人，他们走在荒渺的黄沙之间，带来无数异域珍宝。
ID011 陆上商队
ID012 驼铃声声，岁月悠悠，陆路的贯通催生出了大批的商人，他们走在荒渺的黄沙之间，带来无数异域珍宝。
ID013 冰海战士
ID014 冰洋翻涌，带来了可怕的毁灭者。
ID015 可以招募[GetMaA('lushangshangdui').GetName]作为[men_at_arms|E]
ID016 可以招募[GetMaA('binghaizhanshi').GetName]作为[men_at_arms|E]
ID017 斯拉夫扩张主义
ID018 斯拉夫人特有的开拓精神，地处苦寒所以向往温软，矛盾重重所以需要扩张。
ID019 冰海战记
ID020 血与冰的赞歌，冰海永存。
ID021 猛安谋克
ID022 这些原始社会后期由于征掠、围猎的需要而设的军事首领，随着时间的推移逐渐发展为了固定的军事组织。
ID023 甲骑具装
ID024 人马具甲的武士是战争的主宰，他们以摧枯拉朽之势横扫万钧。
ID025 可以招募[GetMaA('jiaqijuzhuang').GetName][men_at_arms|E]
ID026 该[culture|E]的[knights|E]有资格获得[GetAccoladeType('dfbz_xinzeng_0005_attribute').GetName][accolades|E]
ID027 甲骑军头
ID028 甲骑军头
ID029 先锋具装甲骑
ID030 先锋具装甲骑
ID031 亲卫具装甲骑
ID032 横冲都将
ID033 横冲都将
ID034 横冲都
ID035 横冲都
ID036 横冲都
ID037 长剑都将
ID038 长剑都将
ID039 长剑都
ID040 长剑都
ID041 长剑都
ID042 长剑都
ID043 牙将
ID044 牙将
ID045 契丹
ID046 可以招募[GetMaA('nvzhen_mouke').GetName]作为[men_at_arms|E]
ID047 赐予你手下的$jurchen$[knights|E]土地将大幅增加他们的战斗意志，\n但长期的安逸生活亦会很快将他们腐蚀。
ID048 谋克
ID049 经过精挑细选、层层选拔的精英战士，他们无不是各个部族中征掠、围猎的好手。
ID050 谋克
ID051 经过精挑细选、层层选拔的精英战士，他们无不是各个部族中征掠、围猎的好手。
ID052 你必须拥有[feudal|E][government|E]
ID053 苏丹卫队
ID054 一支由苏丹亲信组成的可靠卫队，平日里也为苏丹做些见不得光的工作 
ID055 骑士传统
ID056 法国广袤的平原是骑士的主战场，这里孕育了整个中世纪最最凶悍的骑士兵团
ID057 亲卫队
ID058 强大的统治者往往需要一支可靠的亲卫队应对各种突发状况，并且这些人最好值得信赖。
ID059 持斧近卫
ID060 伏特加
ID061 生命之水，罗斯民族的骄傲
ID062 民风彪悍
ID063 文明蒙昧，民风彪悍，原始的欲望充斥在每个人心中
