Chunk 6 sent to API:
ID000 塔盾
ID001 圆盾
ID002 维京圆盾
ID003 器形盾
ID004 筝形盾
ID005 扇形盾
ID006 椭圆盾
ID007 旁牌
ID008 旁牌
ID009 已选择
ID010 冲锋
ID011 负重
ID012 追猎
ID013 掩护
ID014 繁育战马
ID015 旋风砲
ID016 披甲战象
ID017 箭塔
ID018 训练强度:Ⅰ
ID019 训练强度:Ⅱ
ID020 训练强度:Ⅲ
ID021 戒严
ID022 巩固城防
ID023 坚壁清野
ID024 强制征兵
ID025 协助城建
ID026 驻军征税
ID027 巡视牧场
ID028 组织劫掠
ID029 切舍御免
ID030 征召兵包括牧民、游荡的猎人、当地佣兵以及落魄贵族——他们数量庞大，大多骑马作战，构成了军队的主体。
ID031 征召兵包括农民兵、地痞、当地佣兵以及落魄贵族，装备着五花八门的工具和东拼西凑的武器——他们数量庞大，构成了大部分军队的主体。
ID032 征召兵包括农民兵、地痞、当地佣兵以及落魄贵族，装备着五花八门的工具和东拼西凑的武器——他们数量庞大，构成了大部分军队的主体。
ID033 圣战士
ID034 圣战士
ID035 劫掠者
ID036 劫掠者
ID037 部落冠军
ID038 部落冠军
ID039 农民领袖
ID040 农民领袖
ID041 百战老农
ID042 牙兵派系
ID043 牙兵[faction|E]的诉求是更多的[gold|E]，更广阔的[realm|E]以及更优越的地位。积极互动，与你的[knights|E]们保持良好#关系。\n\n#S 最后通牒#!\n所有派系成员获得[gold|E]，[prestige|E]，[army|E]以及[realm|E]\n[deposed|E]现任[liege|E]并推举一位新的[liege|E]。
ID044 希望攫取更多利益
ID045 你不是[knights|E]
ID046 你[liege|E]的组织形式不是#V 军府#!
ID047 你[liege|E]的[government|E]不是#V 军镇制#!
ID048 牙兵叛乱
ID049 渴望金钱：$VALUE|=+0$
ID050 游牧ai发展方向：通用（文化交流，技术革新)(加buff，偷革新)
ID051 游牧ai发展方向：通用（文化交流，技术革新)(加buff，偷革新)。
ID052 文化交流，技术革新
ID053 文化交流，技术革新
ID054 游牧ai发展方向：通用（贸易通商)
ID055 游牧ai发展方向：通用（贸易通商)。
ID056 贸易通商
ID057 贸易通商
ID058 游牧ai发展方向：通用（征服/快速吃地)
ID059 游牧ai发展方向：通用（征服/快速吃地)。
ID060 征服/快速吃地
ID061 征服/快速吃地
ID062 游牧ai发展方向：帝国式征服者（加buff）
ID063 这类政权以强大的军事力量和领导力为特征，往往通过征服周边地区来建立广大的帝国。\n蒙古帝国是典型的帝国式征服者。成吉思汗及其后继者统一了蒙古草原，迅速征服了亚洲和欧洲大片领土，建立了一个庞大的帝国。
ID064 战争
ID065 战争
ID066 游牧ai发展方向：帝国式征服者（ai策略）
ID067 这类政权以强大的军事力量和领导力为特征，往往通过征服周边地区来建立广大的帝国。\n蒙古帝国是典型的帝国式征服者。成吉思汗及其后继者统一了蒙古草原，迅速征服了亚洲和欧洲大片领土，建立了一个庞大的帝国。
ID068 策略
ID069 策略
ID070 游牧ai发展方向：帝国式征服者（ai应对派系）
ID071 这类政权以强大的军事力量和领导力为特征，往往通过征服周边地区来建立广大的帝国。\n蒙古帝国是典型的帝国式征服者。成吉思汗及其后继者统一了蒙古草原，迅速征服了亚洲和欧洲大片领土，建立了一个庞大的帝国。
ID072 应对派系
ID073 应对派系
ID074 游牧ai发展方向：帝国式征服者（ai迫害封臣）
ID075 这类政权以强大的军事力量和领导力为特征，往往通过征服周边地区来建立广大的帝国。\n蒙古帝国是典型的帝国式征服者。成吉思汗及其后继者统一了蒙古草原，迅速征服了亚洲和欧洲大片领土，建立了一个庞大的帝国。
ID076 迫害封臣
ID077 迫害封臣
ID078 游牧ai发展方向：帝国式征服者（征服/快速吃地)
ID079 游牧ai发展方向：帝国式征服者（征服/快速吃地)。
ID080 征服/快速吃地
ID081 征服/快速吃地
ID082 游牧ai发展方向：文化传承者（加buff）
ID083 这类政权在征服过程中，通常会保留并传承原有的文化、语言和宗教，促使不同文化的融合。\n突厥汗国是一个文化传承#者。突厥汗国在征服中亚地区时，保留了原有的突厥文化和语言，并在统治地区推广突厥文化。
ID084 传承
ID085 传承
ID086 游牧ai发展方向：外交与同盟者（加buff）
ID087 这类政权可能更倾向于通过外交手段，与周边政权建立同盟关系，以维护自身的利益和稳定。\n花刺子模汗国在中亚地区采取了灵活的外交政策，通过与伊斯兰教国家建立同盟来维护自身的地位。
ID088 外交
ID089 外交
ID090 游牧ai发展方向：外交与同盟者（ai外交策略）
ID091 这类政权可能更倾向于通过外交手段，与周边政权建立同盟关系，以维护自身的利益和稳定。\n花刺子模汗国在中亚地区采取了灵活的外交政策，通过与伊斯兰教国家建立同盟来维护自身的地位。
ID092 外交
ID093 外交
ID094 疲惫行军
ID095 内里被雨水和泥浆浸透，沉重的铠甲令战士们不堪重负。长时间的跋涉使他们双眼发红，两腿打颤。士兵们脸上满了疲惫和焦虑，眼神浑浊，不再闪烁出昔日的锐利。武器也变得沉重笨拙，剑刃上沾满了泥土与污渍。每一步都如同提着千斤重担，战马气喘吁吁，阵阵喘息声伴随着个行军队伍。#!
ID096 加速，你们这群懒猪！
ID097 动起来！你们这群懒猪！掉队的人今晚可没有饭吃！
ID098 你出色的军事素养告诉你如何有效调动整支军队
ID099 士兵大声抱怨着行军的艰苦并无视了你的催促
ID100 好吧，原地整顿。
ID101 敌袭
ID102 天色渐昏，乌云密布，视野变得愈发模糊，士兵们的铁甲摩擦声不断回响。\n\n突然，一声嘹亮的呐喊划破死寂，几道暗影飞速闪出，刀剑和长矛闪烁着寒光。\n\n\n“敌袭！”#!
ID103 保持阵型！
ID104 想个法子抓住来袭的斥候，迟滞敌军的下一步行动
ID105 你冷静得出奇，找准时机一举擒获了敌人的斥候
ID106 你手足无措，敌军一击脱离，接下来的路上将危机四伏
ID107 出城迎敌
ID108 远处的要塞映入眼帘。\n城墙高筑，其上鲜明的旗帜告诉我前方的凶险。\n\n突然，城塞大门缓缓打开，从中涌出一队人马，摆出严密军阵，宛如一堵钢铁之墙，静静等待着我军的到来。\n\n
ID109 杀过去！
ID110 相信我的士兵们，掩杀过去！
ID111 守军
ID112 弓骑兵
ID113 掩杀
ID114 外交博弈：停战协议
ID115 以外交手段与[recipient.GetTitledFirstName]商定预防性[truce|E]
ID116 外交博弈：$VALUE|=+0$

