Chunk 6 sent to API:
ID000 持斧近卫
ID001 伏特加
ID002 生命之水，罗斯民族的骄傲
ID003 民风彪悍
ID004 文明蒙昧，民风彪悍，原始的欲望充斥在每个人心中
ID005 瘊子甲
ID006 羌人善锻甲，凡锻甲之法，其始甚厚，不用火，冷锻之，比元厚三分减二乃成。其末留箸头许不锻，隐然如瘊子，欲以验未锻时厚薄，如浚河留土笋也，谓之“瘊子甲”。强弩射之，不能入.
ID007 横山羌
ID008 广泛存在于西北山区的羌人部族，以卓绝的越野能力纵横于群山之间。
ID009 党项马
ID010 党项族居住的地斤泽、横山、天都山一带都是著名产马地区。马多而品种优良，唐代诗人元稹有“北买党项马，西擒吐蕃鹦”之句。宋人更是称誉党项马为天下之最。
ID011 冷锻钢
ID012 党项人的锻钢技术超绝于世，世人以得到一把夏国剑为无上荣光。宋钦宗本人随身佩带的宝剑就是‘夏国剑’。苏东坡曾得到一把西夏剑，作诗云：‘红妆拥坐花照酒，青萍拔鞘堂生风。螺旋铓锷波起脊，白蛟双挟三蛟龙。试人一缕立褫魄，戏客三招森动容。’。
ID013 浪人
ID014 为恢复昔日的权威而疯狂冒险，以天皇亲兵自居，到处以
ID015 神臂弓
ID016 神臂弓一人可开,最大射程达四百米,能贯重甲。
ID017 马政废弛
ID018 上层统治者的忽视加上下层官员的错误施政已经让中原马政陷入了积重难返的困境。
ID019 保马法
ID020 中原无马可用的局面正式扭转，强有效的马政政策施行了起来，如果整套体系运转良好的话将泽披万世。
ID021 商业民族
ID022 粟特人通过漫长的丝绸之路频繁往来于中亚与中国之间，从中世纪东西方贸易中攫取了大量财富。
ID023 和弓
ID024 日本弓道所使用的一类长弓。标准的和弓长度约为七尺三寸。
ID025 薙刀
ID026 薙刀是古代日本使用的一种长柄兵器，其刀幅较宽，刀刃部分有很大弧度。
ID027 占城稻
ID028 出产于中南半岛的高产、早熟、耐旱的稻种，造福甚广。
ID029 引进占城稻
ID030 引进出产于中南半岛高产、早熟、耐旱的占城稻，造福天下百姓。
ID031 地大物博
ID032 生吾炎黄，育我华夏。待之有为，必报中华。
ID033 河朔轻骑
ID034 自古燕地多武人，又处边塞，马匹贸易颇多，长期胡汉交杂下，良家子人人得骑。
ID035 西南马
ID036 西南马性情灵敏而温驯，善于爬山，适于山地驮运，为高原山地的重要运输工具。
ID037 百保鲜卑骑
ID038 燕云十八骑
ID039 西凉铁骑
ID040 翁牛特
ID041 兀良哈
ID042 乌济业特
ID043 怯薛军
ID044 拐子马
ID045 拐子马
ID046 铁浮图
ID047 铁浮图
ID048 虎步卫
ID049 铁鹞子

