Chunk 11 sent to API:
ID001000 神臂弓
ID001001 和弓
ID001002 骑兵弩
ID001003 超长枪
ID001004 角弓
ID001005 高丽弓
ID001006 武士刀
ID001007 薙刀
ID001008 双手巨剑
ID001009 朴刀
ID001010 投石索
ID001011 强制换装
ID001012 角弓
ID001013 钉锤
ID001014 短剑
ID001015 骨朵
ID001016 陌刀
ID001017 标枪
ID001018 匕首
ID001019 手弩
ID001020 铲子
ID001021 短柄斧
ID001022 石头
ID001023 单刀
ID001024 短矛
ID001025 强制换装
ID001026 小圆盾
ID001027 塔盾
ID001028 塔盾
ID001029 圆盾
ID001030 维京圆盾
ID001031 器形盾
ID001032 筝形盾
ID001033 扇形盾
ID001034 椭圆盾
ID001035 旁牌
ID001036 旁牌
ID001037 已选择
ID001038 冲锋
ID001039 负重
ID001040 追猎
ID001041 掩护
ID001042 繁育战马
ID001043 旋风砲
ID001044 披甲战象
ID001045 箭塔
ID001046 训练强度:Ⅰ
ID001047 训练强度:Ⅱ
ID001048 训练强度:Ⅲ
ID001049 戒严
ID001050 巩固城防
ID001051 坚壁清野
ID001052 强制征兵
ID001053 协助城建
ID001054 驻军征税
ID001055 巡视牧场
ID001056 组织劫掠
ID001057 切舍御免
ID001058 征召兵包括牧民、游荡的猎人、当地佣兵以及落魄贵族——他们数量庞大，大多骑马作战，构成了军队的主体。
ID001059 征召兵包括农民兵、地痞、当地佣兵以及落魄贵族，装备着五花八门的工具和东拼西凑的武器——他们数量庞大，构成了大部分军队的主体。
ID001060 征召兵包括农民兵、地痞、当地佣兵以及落魄贵族，装备着五花八门的工具和东拼西凑的武器——他们数量庞大，构成了大部分军队的主体。
ID001061 圣战士
ID001062 圣战士
ID001063 劫掠者
ID001064 劫掠者
ID001065 部落冠军
ID001066 部落冠军
ID001067 农民领袖
ID001068 农民领袖
ID001069 百战老农
ID001070 牙兵派系
ID001071 牙兵[faction|E]的诉求是更多的[gold|E]，更广阔的[realm|E]以及更优越的地位。积极互动，与你的[knights|E]们保持良好#关系。\n\n#S 最后通牒#!\n所有派系成员获得[gold|E]，[prestige|E]，[army|E]以及[realm|E]\n[deposed|E]现任[liege|E]并推举一位新的[liege|E]。
ID001072 希望攫取更多利益
ID001073 你不是[knights|E]
ID001074 你[liege|E]的组织形式不是#V 军府#!
ID001075 你[liege|E]的[government|E]不是#V 军镇制#!
ID001076 牙兵叛乱
ID001077 渴望金钱：$VALUE|=+0$
ID001078 游牧ai发展方向：通用（文化交流，技术革新)(加buff，偷革新)
ID001079 游牧ai发展方向：通用（文化交流，技术革新)(加buff，偷革新)。
ID001080 文化交流，技术革新
ID001081 文化交流，技术革新
ID001082 游牧ai发展方向：通用（贸易通商)
ID001083 游牧ai发展方向：通用（贸易通商)。
ID001084 贸易通商
ID001085 贸易通商
ID001086 游牧ai发展方向：通用（征服/快速吃地)
ID001087 游牧ai发展方向：通用（征服/快速吃地)。
ID001088 征服/快速吃地
ID001089 征服/快速吃地
ID001090 游牧ai发展方向：帝国式征服者（加buff）
ID001091 这类政权以强大的军事力量和领导力为特征，往往通过征服周边地区来建立广大的帝国。\n蒙古帝国是典型的帝国式征服者。成吉思汗及其后继者统一了蒙古草原，迅速征服了亚洲和欧洲大片领土，建立了一个庞大的帝国。
ID001092 战争
ID001093 战争
ID001094 游牧ai发展方向：帝国式征服者（ai策略）
ID001095 这类政权以强大的军事力量和领导力为特征，往往通过征服周边地区来建立广大的帝国。\n蒙古帝国是典型的帝国式征服者。成吉思汗及其后继者统一了蒙古草原，迅速征服了亚洲和欧洲大片领土，建立了一个庞大的帝国。
ID001096 策略
ID001097 策略
ID001098 游牧ai发展方向：帝国式征服者（ai应对派系）
ID001099 这类政权以强大的军事力量和领导力为特征，往往通过征服周边地区来建立广大的帝国。\n蒙古帝国是典型的帝国式征服者。成吉思汗及其后继者统一了蒙古草原，迅速征服了亚洲和欧洲大片领土，建立了一个庞大的帝国。

