Chunk 5 sent to API:
ID000400 发动一揆（ai）
ID000401 发动一揆
ID000402 蜂起は成功するだろう
ID000403 僧侶や兵士を動員する
ID000404 僧侶の連隊が武装している
ID000405 组建羽林军
ID000406 天命在此！
ID000407 天下请伏
ID000408 盛世当用强兵，组建羽林军！
ID000409 组建羽林军
ID000410 大唐盛世时，通过由长安直抵地中海沿岸的丝绸之路，将古老而灿烂的中华文明传播四海，世界各国的国君、使臣、客商、僧侣、学生、工匠、医生、胡姬纷至沓而来。他们进入大唐帝国的领土，看到那些车水马龙的繁华都市，无不由衷的惊叹。\n今日！\n再造盛唐！
ID000411 我的威名将传遍四海。
ID000412 组建龙武军
ID000413 天命在此！
ID000414 天下请伏
ID000415 盛世当用强兵，组建龙武军！
ID000416 组建龙武军
ID000417 大唐盛世时，通过由长安直抵地中海沿岸的丝绸之路，将古老而灿烂的中华文明传播四海，世界各国的国君、使臣、客商、僧侣、学生、工匠、医生、胡姬纷至沓而来。他们进入大唐帝国的领土，看到那些车水马龙的繁华都市，无不由衷的惊叹。\n今日！\n再造盛唐！
ID000418 我的威名将传遍四海。
ID000419 龙武军
ID000420 振兴马政（ai）
ID000421 振兴马政
ID000422 推行保马法，泽披后世！
ID000423 推行保马法......
ID000424 颁布保马法，泽披后世！
ID000425 颁布保马法！
ID000426 规定河北、河东、陕西、京东、西五路及开封府界诸县保甲养马，户一匹，物力高而自愿者二匹，给以官马，或官给钱自买。养马户可减免部分赋税。三等以上户十户为一保，四等以下户十户为一社。保户马病死，由养马户单独赔偿；社户马病死，由养马户与其他九户共偿其半。\n\n传朕旨意：颁布保马法！
ID000427 善！
ID000428 你解锁了[GetMaA('majun').GetName][men_at_arms|E]。\n你解锁了[GetMaA('jingsaitieqi').GetName][men_at_arms|E]。
ID000429 地区测试（ai）
ID000430 招募奴兵（ai）
ID000431 招募奴兵（ai）
ID000432 补充奴兵（ai）
ID000433 奴兵
ID000434 仁者爱人（ai）
ID000435 仁者爱人（ai）
ID000436 蒙古军团
ID000437 成吉思汗火星兵（ai）
ID000438 成吉思汗火星兵（ai）
ID000439 统一女真诸部（ai）
ID000440 组建铁鹞子（ai）
ID000441 组建铁鹞子（ai）
ID000442 组建禁军（ai）
ID000443 组建禁军（ai）
ID000444 扩充弩手（ai）
ID000445 扩充陌刀手（ai）
ID000446 扩充牙兵（ai）
ID000447 训练铁浮图（ai）
ID000448 训练铁浮图（ai）
ID000449 扩充马军（ai）
ID000450 民怨沸腾（ai）
ID000451 群情激愤
