Chunk 7 sent to API:
ID000600 边境劫掠者
ID000601 为防御周边穆斯林，本军区稍有作战能力的即可入伍，包括强盗与不法分子。他们毫无道德可言，以灵活多变的战斗方式和缺饷后对平民做出的恶行而闻名。
ID000602 投石步兵
ID000603 掷出石块骚扰敌人的轻装投石手，手法娴熟，一击脱离。
ID000604 轻装标枪手
ID000605 轻装出击的投枪手，装备简陋但行动迅速。
ID000606 先锋轻骑
ID000607 以速度和灵活著称的拜占庭轻骑兵，装备有弓箭、标枪，尤其擅长一击脱离的游击战术。
ID000608 营堡护卫
ID000609 长期驻扎在边境堡垒中的重装要塞守卫。
ID000610 长桌游士
ID000611 边境巡逻的轻装骑士，发现敌情即刻向上汇报并密切监视其动向。
ID000612 边境掠骑
ID000613 防备敌军骑兵的快速反应部队，能在第一时间做出反应并上前游击骚扰。
ID000614 安萨尔轻骑
ID000615 这些往来于朝圣之路的骑兵护卫着一批又一批虔诚的信徒。
ID000616 迅捷卫队
ID000617 他们是穆斯林征服叙利亚期间拉什顿军团的一支精锐轻骑兵部队，在大马士革围城战中以惊人的速度扭转了攻势，大败不可一世的拜占庭军队。
ID000618 炉卫
ID000619 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID000620 炉卫
ID000621 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID000622 马穆鲁克重骑兵
ID000623 这些经过长期训练的奴隶战士组成了我们强大的重骑兵部队，我预感他们将在未来的某场战斗中大放异彩。
ID000624 马穆鲁克骑射手
ID000625 我们的马穆鲁克奴隶战士极富战斗力，其中佼佼者的骑射技术甚至不逊于那些从小在马背上长大的游牧民族射手。
ID000626 铁甲骆驼骑兵
ID000627 为骆驼制作盔甲不是容易的工作，但回报非常值得。骇人的全甲骆驼一次冲锋就能让骑马的军队夹着尾巴逃跑。
ID000628 阿萨维拉
ID000629 这些皈依吾主的波斯武士人马具甲，他们的铁骑在几个世纪前曾立下不世之功。
ID000630 乌古斯雇佣骑兵
