Chunk 9 sent to API:
ID000800 拉丁骑兵
ID000801 这些非东正教的骑兵战士经过长期训练逐渐适应了与成群的突厥骑兵作战，他们是无畏的草原奔袭者。
ID000802 锐骑兵
ID000803 经过长期的训练，我们的骑兵个个都是战场多面手。
ID000804 飞骑
ID000805 熟练使用一切马上武器，破阵只在瞬息之间。
ID000806 鲜卑铁骑
ID000807 鲜卑传统之一，自北魏孝文帝起，历任统治者都会悉心组建重装骑兵部队以震慑周边宵小。
ID000808 鲜卑具装骑兵
ID000809 人马具甲的鲜卑武士，杀人技艺深深的刻入了他们的骨子里。
ID000810 盾女
ID000811 这些女性违背其社会的常态，与其他战士一样组成盾墙参与战斗。
ID000812 波罗的战士
ID000813 世代的森林沼地生活催生了波罗的人民的剽悍风气，他们结伴而行不停扫荡着这片区域。
ID000814 波罗的战士
ID000815 活跃于波罗的海沿岸森林沼地的彪悍战士，借助森林与雪色发动突袭。
ID000816 法兰克封建制
ID000817 查理曼大帝及其先辈为我们打造了优越的封建社会体系，我们的王国稳定而强大，并且这种优势将一直延续下去。
ID000818 斯卡拉骑兵
ID000819 他们是加洛林王朝的王牌骑兵部队，常被用来执行需要高机动性作战的任务。
ID000820 加洛林铁卫
ID000821 他们是王公贵族派到领地各处的亲信之人，平日里负责片区治安，战时则充当精锐步兵抗线冲锋。
ID000822 骑士之花
ID000823 每一名骑士都是法兰西人民的骄傲。
ID000824 该[culture|E]的角色建造#V $一级军团训练场$#!时速度更快，强度更高，且建造完成后将获得少许[prestige_i][prestige|E]
ID000825 谢瓦利埃
ID000826 骄傲的法兰西人民有骄傲的法兰西骑兵。
ID000827 剑盾士
ID000828 全副武装的步兵集群，手中的坚盾使其免于流矢之威胁。
ID000829 钩斧
ID000830 我们开发的这种新式长杆兵器可以很好的克制无甲单位和骑兵。
ID000831 钩斧手
ID000832 我们的步兵列装了新式钩斧，可以很好的克制无甲单位和骑兵。
ID000833 弩骑兵
ID000834 弩骑兵
ID000835 我们的社会形态注定了我们无法拥有大量的优质弓骑兵，但弩骑兵或许是个不错的选择。
ID000836 武功歌
ID000837 我们的骑士拥有无可匹敌的坚定信念，我们的人民亦将长久传颂他们的伟大事迹。
ID000838 重装枪骑兵
ID000839 重装枪骑兵的集团冲锋无人可挡，即便是最坚固的战阵也将顷刻间化为飞灰。
ID000840 步行封建骑士
ID000841 在那些无法投入骑兵的战场上，依旧有我们无畏的骑士在顽强战斗。
ID000842 轻装枪骑兵
ID000843 来自勃艮第的轻装枪骑兵，兼具爆发力与机动性，是绝佳的侧翼突袭部队。
ID000844 法郎弓手
ID000845 每个教区应从擅长使用武器的人中选出一名弓箭手，他将免于税务，在星期天和节日里练习弓箭，并在有需要时准备上战场。
ID000846 法郎弓手
ID000847 用于防卫边境的弓箭手，他们无需缴税，但必须上战场。
ID000848 民会
ID000849 沃希那散兵
ID000850 莫斯科庄园制
ID000851 罗斯地区封建社会的发展与西欧是不同的。我们的王国源于核心家族联盟，我们联合起来，努力增加可用的劳动力并扩大土地生产。但这并不意味着被授予土地是某种束缚，恰恰相反，我们鼓励冒险。
ID000852 波雅尔
ID000853 大公卫士
ID000854 自由民骑手
ID000855 突厥定居者
ID000856 长久的冲突消磨了各自的战斗意志，部分突厥人产生了定居此地的想法。
ID000857 突厥辅兵
ID000858 波雅尔末裔
ID000859 穷困潦倒的波雅尔后裔，他们无法像祖先那样维持统治地位，故而大量转向军营寻找机会。
ID000860 波耶维奇战士
ID000861 冒险英雄
ID000862 哥萨克骑兵
ID000863 哥萨克骑兵以衣着鲜亮和恶名声而著称。他们聚拢为半自治的团体，过着游牧生活。如果能将他们吸纳进军队，将是一股不错的战力。
ID000864 哥萨克骑兵
ID000865 西伯利亚部落突袭者
ID000866 武装动员
ID000867 数量众多的军事贵族支撑起整个国家的战争机器，但是代价是什么呢......
ID000868 什拉赫塔
ID000869 波兰轻弩骑兵
ID000870 翼骑兵
ID000871 忠诚而强大的精锐骑兵，以其高机动性与毁灭性而闻名。
ID000872 翼骑兵
ID000873 雷蒂斯
ID000874 萨莫吉蒂亚投枪术
ID000875 波罗的森林中最有效的战争工具之一，疾驰的萨莫吉蒂亚马给予投枪千钧之力。
ID000876 萨莫吉蒂亚投枪骑手
ID000877 立陶宛骑射手
ID000878 与你拥有相同[culture|E][heritage|E]的[vassals|E]更有可能加入[independence_factions|E]和[claimant_factions|E]，这不是一件坏事，起码在你还比较弱小的时候不是。
ID000879 该[culture|E]的人民只信服诺亚后裔的统治，他们更有可以加入到反抗异[culture|E]统治者的[factions|E]中去。
ID000880 自身[culture|E]拥有该[innovations|E]的角色可以通过与特定[culture|E]的角色结盟以招募强大的特色[men_at_arms|E]
ID000881 大金
ID000882 大金
ID000883 完颜
ID000884 大金
ID000885 岁币
ID000886 上层的无能由下层买单。
ID000887 燕云十六州
ID000888 立陶宛
ID000889 波兰
ID000890 可以在单场战争中为自己索取多个[claims|E]
ID000891 中东、波斯
ID000892 僧伽罗
ID000893 马槊
ID000894 军事上广泛使用札甲的地区
ID000895 大迁徙入侵
ID000896 大迁徙入侵
ID000897 大迁徙
ID000898 你舍弃了从前的那片天地，将你的人民和畜群迁徙至此，新的统治，开始了。
ID000899 大迁徙之后

