Chunk 1 sent to API:
ID000000 百越雄心
ID000001 百越泛指东亚沿海即大河边栖息的族群，他们曾是东亚大陆最早的定居者。
ID000002 千岛之王
ID000003 南岛诸族穿梭于千万岛屿，同潮汐与风暴朝昔相伴，主宰着日光之下的海域。
ID000004 白山黑水
ID000005 兴安岭、长白山、嫩江和黑龙江流域滋养着诸多部落，在柳树娘娘的庇佑下，他们滋生壮大，并一波波走出森林。
ID000006 丛林之主
ID000007 从哀牢山到武夷山，散布着剽勇的采猎族群，蚩尤争霸中原之事已成传说，而他们从未遗落光荣。
ID000008 武运昌隆
ID000009 大和人坚信，从神话时代起，自己受命于天；落花一瞬，哀乐有时，抚琴千日，剑心合一。
ID000010 山高水丽
ID000011 与中原史官认定的濊貊族系不同，高丽诸族自诩檀君之后，并曾由扶余后裔的高句丽中兴。
ID000012 苍狼白鹿
ID000013 敕勒川，阴山下。天似穹庐，笼盖四野。天苍苍，野茫茫。风吹草低见牛羊。
ID000014 宗法传统
ID000015 为了大规模密集劳作，人们聚族繁衍，厚生重死，在宗族的约束中生活，父辈拥有至高的权威，奉行家族嫡长子世袭制，不得毁伤肌体，首先孝敬亲族进而推己及人，违反宗法者则人尽可鄙。
ID000016 实行可指认继承人的嫡长子世袭制
ID000017 车书万里
ID000018 车同轨、书同文、行同伦。早熟的大一统中央集权制度，可以组织大规模生产，而至高无上的皇权占有和处置一切。
ID000019 可以招募[GetMaA('mangudai').GetName][men_at_arms|E]
ID000020 可以招募[GetMaA('asia_tunguse_ss').GetName][men_at_arms|E]
ID000021 可以招募[GetMaA('samurai').GetName][men_at_arms|E]
ID000022 可以招募[GetMaA('java_warrior').GetName][men_at_arms|E]
ID000023 可以招募[GetMaA('china_east_ms').GetName][men_at_arms|E]
ID000024 可以招募[GetMaA('china_south_wd').GetName][men_at_arms|E]
ID000025 契丹军制
ID000026 太宗选天下精甲三十万为皮室军。初，太祖以行营为宫，选诸部豪健千馀人，置为腹心部……则皮室军自太祖时已有，即腹心部是也，太宗增多至三十万耳。
ID000027 艨艟斗舰
ID000028 道不行，乘桴浮于海。
ID000029 独木舟
ID000030 两京禁卫
ID000031 暂辍清斋出太常，空携诗卷赴甘棠。\n府公既有朝中旧，司马应容酒后狂。\n案牍来时唯署字，风烟入兴便成章。\n两京大道多游客，每遇词人战一场。
ID000032 吴钩
ID000034 幽州良驹
ID000035 文法奸酋引骑兵，飞随银鹘弓刀满。
ID000036 高丽猎手
ID000037 高丽其地，山广林丰；其人擅制围猎之器，尤擅制弓，盖以为军用，多良弓好手。
ID000038 西蜀连弩
ID000039 昔闻天兵入西蜀，鞞鼓乱挝裂岩谷。
ID000040 中原军制
ID000041 醉卧沙场君莫笑，古来征战几人回。
ID000042 陌刀
ID000043 霜矛雪甲寒如水，候卒何由知首尾。
ID000044 下克上
ID000045 在现有制度下运用各种手段让自己取代上级。
ID000046 武士崛起
ID000047 武士们伴随着社会的混乱和皇权衰落的过程而出现。
ID000048 足轻
ID000050 高丽参
ID000051 大补元气，生津安神，上国独爱之。
ID000052 高丽弓
ID000053 古高丽的最强战力，少有的亮点之一。
ID000054 别班武
ID000055 高丽为对抗女真入侵而精心打造的对骑兵部队。
ID000056 蒙古马
ID000058 回鹘轻骑
ID000059 回鹘人虽与突厥各部不和，但仍保有传统的牧居生活，他们借由当地所产的哈萨克马组成了强有力的骑兵部队，用以护卫陆上商队的安全。
ID000060 哈萨克马
ID000061 产于天山北坡、准噶尔西部山地和阿尔泰山西段一带的马种。骨骼粗实、皮厚毛密，鬃、鬣、尾毛浓密，体型较粗重。外貌匀称，有良好的兼用型结构。是在粗放的群牧饲养条件下形成的一个古老地方马种。
ID000062 喜马拉雅战士
ID000063 我们早已适应高原山地间崎岖的地形与稀薄的空气，外来者难以忍受这里的环境，更不足以对我们造成威胁。我们的战士穿梭于群山之间，俯瞰着入侵者一个个倒下。高原是上天赐予的屏障，外来者入藏举步维艰，但同时，我们的战士下到低地也会有严重的不良反应。
ID000064 河曲马
ID000066 鲜卑铁骑
ID000067 吐谷浑保留下来的鲜卑传统之一，自北魏孝文帝起，历任统治者都会悉心组建重装骑兵部队以震慑周边宵小。
ID000068 吐谷浑甲骑具装
ID000069 人马具甲的吐谷浑武士，保留着良好的鲜卑传统，是冲阵杀敌的好手。
ID000070 具装甲骑
ID000071 人马具甲的重装武士，依照古老的战斗传统冲阵杀敌。
ID000072 突厥重骑兵
ID000073 西突厥是马背上的民族，自突厥崛起时代保留下来的冶铁铸造工艺遇上中亚地区丰富的铁矿资源造就了这支名噪一时的重装骑兵部队，他们是草原上的恶狼，是周边文明的噩梦。
ID000076 库曼部落
ID000077 库曼人的联合之法无比强大，各个部族的强大骑兵均为我所用。
ID000078 库曼基普切克
ID000079 来自各个部族的轻装库曼骑兵，以其高机动性而著称。
ID000080 木制围栏
ID000082 阿克速
ID000083 人马具甲的保加尔武士，以密集阵型发起冲锋，最大程度地发挥他们的力量和速度。
ID000084 昆诺
ID000085 轻装上阵的马扎尔战士，他们乘马踏来之时整个潘诺尼亚都为之颤抖。
ID000086 洛沃什
ID000087 英勇的披甲马扎尔骑士，既能在远处配合轻骑发射箭雨，又能在战阵焦灼时发起冲锋。
ID000088 武装民兵
ID000089 稍加训练，拥有简易武备的轮班民兵，队伍中混有少量弓箭手，但战斗力依旧不佳。
ID000090 塞凯伊弓骑兵
ID000092 伽色尼战象
ID000093 引进自印度的战争巨兽，经过长期的驯养与磨合逐渐适应了战场上的噪音与长矛，厚实的象皮配上全身防护的铁甲，他们能够无视猛烈的攻击并以万钧之势冲垮敌军。
ID000098 武士道
ID000099 毫不留念的死，毫不顾忌的死，毫不犹豫的死。
ID000100 渔猎
ID000101 小到鱼虾鳖蟹贝、大到捕鲸，战海兽，这是一种古老的行当。
ID000102 逐草而居
ID000103 古代游牧民族生活的主要特征之一，一生追逐草原，熟知草原上的所有事物。
ID000104 该[culture|E]的角色带领[army|E]途经#V $草原$#!或#V $平原$#!时，行军速度将大幅提升
ID000105 苗疆巫蛊
ID000106 先民的伟大智慧。
ID000107 蚩尤血脉
ID000108 传说中制造兵器的人，又传为主兵之神，与黄帝、炎帝并称中华三祖 ，被诸多苗人认为祖先。其后衍生出的苗人之凶悍团结之精神为世人所赞叹。
ID000109 阿伊努部族战士
ID000110 阿伊努人自称“乌塔里”，即“伙伴”，他们珍视并肩作战的族人，并以此在日本列岛的诸多纷争中艰难求生。
ID000111 东北亚骑射手

