Chunk 1 sent to API:
ID000000 "市镇广场"
ID000001 "#F 为居民提供一个公共聚会的场所。#!"
ID000002 "先祖之石"
ID000003 "树立起一块刻有你们祖先伟大事迹的墓碑，作为展示居民团结的神圣遗产。"
ID000004 "奴隶交易市场"
ID000005 "我们在战争中或者贸易中总能获得一些奴隶作为劳动力的来源，市镇广场的一部分将被用作交易战争中俘获的奴隶。"
ID000006 "集合点"
ID000007 "市镇广场将被视作征召的军队的集合点，以便领主们和他们的部曲聚集。"
ID000008 "军事设施"
ID000009 "#F 我们可以驱使奴隶们为我们修筑一些军事设施，包括防御建筑和训练设施，来提升我们在即将到来的大战中的竞争力。#!"
ID000010 "简易瞭望塔"
ID000011 "奴隶和工人将建造简易的木制高塔，这些塔将有助于我们在周围地区遭受袭击的时候，更加及时地获取敌人的动向。"
ID000012 "帐篷军械库"
ID000013 "这些简易帐篷将用来储存武器和护具等，以便于让每个战士在战争时期都能获得趁手的装备和防护。我们的将军也将负责守护这些军械仓库，防止有些奴隶会偷取武器，图谋不轨。"
ID000014 "简易指挥中心"
ID000015 "一个带有多个房间的大型可移动式帐篷将被精心制作并收纳起来。在战时，我们可以随身携带这些帐篷并将它们用作移动的大本营，这样，领主和将领将能够更好地在瞬息万变的战局中指挥部队。"
ID000016 "城堡外部设施"
ID000017 "#F 通过归拢资源，调配人力，我们可以对我们城堡的外部防御设施进行诸多的升级改造，包括了城墙设施和外部中庭等重要区域。#!"
ID000018 "护城河及入口吊桥"
ID000019 "我们将在城墙外围修建一条大型护城河，作为城堡的天然屏障，还有大门处的入口吊桥作为入口。官员们也能在入口吊桥处设置关卡，对那些寻求庇护和希望觐见领主的访客收取过路费。"
ID000020 "城门楼"
ID000021 "城堡大门处将被彻底整修，我们的城门将被扩建，门楼也会加高以防止可能的围城时敌人使用攻城塔或云梯等设施，门楼上方还将加建两座塔楼用作防御和装饰。当这个工程完工后，相信没有人会不被这令人瞩目的建筑所震撼的！"
ID000022 "中庭训练场"
ID000023 "我们将在城堡入口附近的开阔区域建筑一座训练场，以供我们的士兵平时保持战力，领主大人们自己也可以偶尔来试试身手，维持一下体型。"
ID000024 "中庭靶场"
ID000025 "在中庭训练场附近的区域，我们可以收集一些干草并配上靶面制成弓箭靶，毫无疑问，优秀的弓箭手非常有用，不过没有平日的刻苦训练，那也是不行的。"
ID000026 "城垛射箭孔"
ID000027 "我们将在城垛和城墙上设置多处射箭孔，当围城来临之时，我们优秀的弓箭手们将通过这些射箭孔狠狠地惩罚我们的敌人。"
ID000028 "改良式炮门垛口"
ID000029 "我们将雇佣出色的石匠们进一步地改良我们的城墙和城垛，以使得大型火器和弩手能够更好地在城墙上方反击来犯之敌。"
ID000030 "油锅"
ID000031 "虽说我们的城墙在覆盖了这些滚烫的热油可能在之后很难清洁，不过真正有敌人围攻并架设云梯之时，他们将在我们从城墙上倾泄热油的时候感到死亡的恐惧。"
ID000032 "要塞碉堡"
ID000033 "这座城堡的城墙塔楼将被进一步升级为一座座碉堡，相信即便是诸神黄昏到了，我们的领主和廷臣们仍能在这座固若金汤的城堡里稳如泰山。"
ID000034 "主堡内部设施"
ID000035 "#F 通过归拢资源，调配人力，我们可以对我们在这座城堡的主要生活区域，也就是主堡内部，进行外观和功能上的一系列改良工程。#!"
ID000036 "城堡井水"
ID000037 "对于一座城堡来说，稳定而持续的淡水水源是极为重要的，挖掘地下水并建造一口水井可谓是有百利而无一害，这话在城堡被围攻的时候尤其正确。"
ID000038 "礼拜堂"
ID000039 "我们将在紧挨着主堡的位置修建一座小型礼拜堂，礼拜堂将为城堡军民提供精神上的强大支持，当然，礼拜堂内的装饰、神坛、长椅和壁画可都不能少。"
ID000040 "下水道"
ID000041 "对于一位贵族领主来说，整天生活在排泄物的恶臭之中可算不上体面，我们应当建造厕所、水渠、阴沟和隐秘的粪坑等设施来解决这个问题，除去感官上的问题之外，这对于这座城堡的卫生条件也能带来极大的提高。"
ID000042 "内部马厩"
ID000043 "我们将在主堡附近修建一座马厩，优良的战马和马倌也是必不可少的，毕竟，贵族怎么能没有马呢？"
ID000044 "庭院花园"
ID000045 "一座装饰精美、花团锦簇的庭院花园，供领主和其家眷廷臣设宴、休闲和娱乐。"
ID000046 "地牢监狱与绞刑架"
