Chunk 2 received from API:
ID000100 "Simple Dock"
ID000101 "#F A dock constructed from wooden bridges, providing a docking place for all sailors.#!"
ID000102 "Longship Dock"
ID000103 "The port will be expanded to accommodate our longships, making it a great starting point for our raids, plundering, and travels."
ID000104 "Fishing Village"
ID000105 "The area around the port will be used as a fishing zone, where the fishing gear and anchor points we provide will enable residents to fish for a living and contribute more resources for taxes."
ID000106 "Covert Facility"
ID000107 "#F We will undertake an expensive yet essential project in the castle’s underground to build a haven for everything the lord wishes to keep secret from others."
ID000108 "Underground Tomb"
ID000109 "These underground tombs deep within the castle house the graves of our ancestors and loved ones. Even ancestors who lived centuries ago can rest here, undisturbed by any intruders, may they rest in peace."
ID000110 "Secret Passage"
ID000111 "These secret passages run throughout the palace, allowing those within the court to move swiftly from one end to the other without being noticed. A gentle pull on a candlestick, bookshelf, or fireplace can perhaps reveal a hidden door. This is an excellent means to avoid potential assassinations or awkward social gatherings."
ID000112 "Secret Treasury"
ID000113 "A small wall will be breached to create a hidden vault known only to you and your trusted confidants. Although the capacity is limited, it is enough to hide your most treasured gold and silver along with valuable collections without fear of undesirable attention."
ID000114 "Large Vault"
ID000115 "We will carve out a spacious hall in the castle's underground and reinforce the surrounding walls with stone, constructing a true large vault, where all your possessions, from rare artworks to a single coin, can be kept safe."
ID000116 "Secret Room"
ID000117 "We will excavate more rooms in the castle’s substructure leading to various areas, allowing for use when needed, including but not limited to meetings with visiting noble ladies, as well as creating space for potential covert facilities in the future."
ID000118 "Underground Living Room"
ID000119 "Building a truly livable living room in a safe underground area with the technology of this era is quite a challenge; we have to reinforce the walls with double layers to prevent soil from collapsing and construct ventilation shafts to allow fresh air in. This project is expensive and time-consuming, but I believe it is worthwhile, as safety and privacy are so important!"
ID000120 "Support Structure"
ID000121 "#F A rough and hastily constructed fortification meant to repel impending assaults during wartime."
ID000122 "Wooden Reinforcement"
ID000123 "Timber hastily collected from the surroundings will be used to fortify our walls and gates. Though these structures won’t last long, the reinforced walls will withstand the enemy's siege engines and attacks for a longer time."
ID000124 "Raiding Base"
ID000125 "#F A raiding base refers to places we build near areas we frequently raid for warriors to rest, prepare, and resupply after successfully plundering. If we make these bases more reasonable and solid, the whole world will tremble at the sound of our raiding horn!"
ID000126 "Supply Warehouse"
ID000127 "The principle of being cautious and swift like a cunning rabbit means that for every additional supply warehouse stocked with weapons and food, our raids can become swifter and more surprising."
ID000128 "Assembly Hall"
ID000129 "We will specifically build a large longhouse to provide a meeting place for our warriors, where we will discuss the distribution of spoils and determine the next target of our relentless plunder. Only a united spirit can ensure our success, which is certainly worthwhile!"
ID000130 "Tunnel System"
ID000131 "#F Although constructing these tunnels beneath the hills is indeed time-consuming and labor-intensive, if an enemy army truly comes, these underground works could prove immensely helpful."
ID000132 "Cave Shelter"
ID000133 "We will construct some simple and small mines and caves in the surrounding areas, providing our subjects with a safe haven in case they encounter enemies or wild beasts."
ID000134 "Simple Tunnel Access"
ID000135 "The workers we hired will soon begin our planned tunnel project, and any mineral veins or gems discovered during the excavation will belong to us; whether we keep them or sell them for profit is entirely up to us."
ID000136 "Large Shaft"
ID000137 "The mines and tunnels we construct will continue to extend according to our design, leading to farther and deeper places. This work certainly cannot be completed in a short time; however, the interim victories are already quite satisfying."
ID000138 "Large Tunnel"
ID000139 "Thanks to our substantial funding and the workers' fearless labor, these tunnels can finally connect both sides of the hill, enabling merchants, villagers, and our army to save time and effort bypassing the mountains, facilitating travel through this area more efficiently."
ID000140 "Cave Warehouse"
ID000141 "We will build large spaces within the already completed, maze-like tunnel system for warehouse use, which will not only allow us to store more perishable foods better but also make trade routes through the tunnels more accessible and attractive to more merchants."
ID000142 "Slaughterhouse"
ID000143 "#F Meat and livestock are crucial sources of the local economy and food supply; this area already has a large number of livestock farms, so our city needs to keep up by establishing trading institutions for livestock and meat processing."
ID000144 "Simple Slaughterhouse"
ID000145 "Local workers have constructed rudimentary sheds for storing and roughly processing excess meat for emergencies."
ID000146 "Butcher"
ID000147 "The butcher we hired is a professional who carefully handles all the meat and bones, categorizing and selling them, providing delicious sources of protein for the townspeople and generating considerable tax revenue."
ID000148 "Livestock Market"
ID000149 "In a corner of the town center, we have established a market specifically for selling and trading locally produced livestock, including chicken, lamb, rabbit, pork, and beef, where lord's servants, townsfolk, and merchants can engage in large-scale livestock trading."
ID000150 "Fine Restaurant"
ID000151 "Whether citizens, workers, or local lords, everyone desires to indulge in fine dining at the upscale restaurant in the dining district, and the locally renowned establishment will certainly leave all distant guests satisfied."
ID000152 "Hospital"
