Chunk 4 sent to API:
ID000300 "芦台盐场"
ID000301 "#F 后唐始设芦台场，从此产尽白玉砂#!"
ID000302 "煮盐场"
ID000303 "后唐时期，芦台盐场就已正式形成生产建制，以供应周边地区。"
ID000304 "精盐品质"
ID000305 "不再拘泥于生产粗盐，精品盐品质纯正，独具鲜咸口味，是富贵人家的钟爱之物。"
ID000306 "贡盐"
ID000307 "专为皇家所制，作为特产进奉至尊。"
ID000308 "渝关"
ID000309 "#F 渝关三面皆海，北连陆。自渝关北至进牛口，旧置八防御兵，募士兵守之，契丹不敢轻入。#!"
ID000310 "渝关"
ID000311 "渝关三面皆海，北连陆。自渝关北至进牛口，旧置八防御兵，募士兵守之，契丹不敢轻入。"
ID000312 "山海关"
ID000313 "天下第一关。"
ID000314 "黑土地"
ID000315 "#F 时间的洪流没有带走逝去者的残躯，反用之赠与了人类名为自然的礼物。#!"
ID000316 "土地勘探"
ID000317 "难以置信，仆人偶然洒落的豆子长成了健硕的苗子，或许这苦寒之地并不像它表面那么简单。"
ID000318 "反复开挖"
ID000319 "森林、草甸和平原之下都埋藏着一层极厚的黑色土壤，不确定那是什么，但很显然，它可以用来种点什么。"
ID000320 "黑土农场"
ID000321 "此地的黑土肥力极好，挑选些耐寒的作物播种下去，来年会有一个好收成。"
ID000322 "休耕养土"
ID000323 "长时间的开发让我们意识到黑土并不是随处可见的，它的分布算不上狭窄但也绝不富裕，合理的休耕有助于可持续发展。"
ID000324 "黑土地"
ID000325 "#F 时间的洪流没有带走逝去者的残躯，反用之赠与了人类名为自然的礼物。#!"
ID000326 "土地勘探"
ID000327 "难以置信，仆人偶然洒落的豆子长成了健硕的苗子，或许这苦寒之地并不像它表面那么简单。"
ID000328 "反复开挖"
ID000329 "森林、草甸和平原之下都埋藏着一层极厚的黑色土壤，不确定那是什么，但很显然，它可以用来种点什么。"
ID000330 "黑土农场"
ID000331 "此地的黑土肥力极好，挑选些耐寒的作物播种下去，来年会有一个好收成。"
ID000332 "休耕养土"
ID000333 "长时间的开发让我们意识到黑土并不是随处可见的，它的分布算不上狭窄但也绝不富裕，合理的休耕有助于可持续发展。"
ID000334 "丛林猎场"
ID000335 "#F 依照传统，所有男性族人有权进入丛林证明自己。#!"
ID000336 "丛林追猎"
ID000337 "召集最健壮的战士，组织一场丛林围猎。\n\n解锁[GetMaA('conglinlieshou').GetName][men_at_arms|E]"
ID000338 "雨林毒瘴"
ID000339 "外人难以涉足的丛林，是我等丛林战士的天堂。"
ID000340 "丛林集训"
ID000341 "试着圈出一小片丛林，作为部族战士们的训练场。"
ID000342 "猎虎"
ID000343 "强大的丛林之王，恐怖的食人恶兽，我们不再恐惧它，设法杀死一只老虎，这将是每一位强大战士的必要试炼。"
ID000344 "捕奴队"
ID000345 "#F 货物可以买卖，为什么人口不能买卖，或许我能从奴隶贸易中中大赚一笔。#!"
ID000346 "捕奴队"
ID000347 "叫上当地向导，抓点两脚羊！"
ID000348 "奴隶市场"
ID000349 "#F 总有人需要一个隐蔽的场所进行一些秘密交易。#!"
ID000350 "奴隶市场"
ID000351 "新鲜捕获的白皮两脚羊，不管是拿来做什么都合适的很。"
ID000352 "长山渔场"
ID000353 "#F 周边的渔民依此为生，靠着长山群岛丰富的鱼类资源讨海度日。#!"
ID000354 "长山渔场"
ID000355 "周边的渔民依此为生，靠着长山群岛丰富的鱼类资源讨海度日。"
ID000356 "茶园"
ID000357 "#F 茶文化在中华大地上的见证。#!"
ID000358 "官营茶园"
ID000359 "早期小型茶园，多见于东南丘陵，官营为主。"
ID000360 "士族茶园"
ID000361 "经由士大夫阶层的推广，饮茶之风盛行，各地土邦士族纷纷攀风附雅，圈地种茶。"
ID000362 "小农茶园"
ID000363 "茶文化日益高涨，起自民间的茶园被逐渐放宽限制，百姓茶庄开始慢慢成熟。"
ID000364 "御茶"
ID000365 "一件事物的发展总逃不过上层的耳目，饮茶可延年益寿的话头不知从何传出，可天子所求必有应者，进献御茶成了取悦圣上的不二之选。"
ID000366 "蜀田"
ID000367 "  三国时期蜀国的农业发展通过改进与普及农用器具、完善水利灌溉等系列措施不仅有效提高了农业生产效率，而且对农业生产的持续性发展，甚至是蜀国地区的经济结构都起到重要的作用，继而对后世产生了巨大影响。"
ID000368 "巴蜀屯田"
ID000369 "蜀地屯田历史悠久，最早可追溯至三国时期蜀国为争霸而圈定的大片屯田区域"
ID000370 "水利灌溉"
ID000371 "大量的水利设施保障了地区农业用水，大大稳定了农业产量"
ID000372 "防河堰"
ID000373 "既能造福当代人民，又能够成为宝贵的遗产荫蔽后人。"
ID000374 "苗蛮入户"
ID000375 "巴蜀地区森林广阔，苗蛮部族众多，收编少数族裔既能稳定地区政局，同时也带来了一定的农业人口"
ID000376 "仓庾相联"
ID000377 "各地粮仓互通有无，这无疑是保障供给的绝佳手段"
ID000378 "拓荒"
ID000379 "进一步扩展农业用地，提高粮食产量。"
ID000380 "精耕细作"
ID000381 "规定农时，不违天意，精耕细作"
ID000382 "天府之国"
ID000383 "巴蜀之地，成都平原，天府之国。"
ID000384 "蜀田"
ID000385 "  三国时期蜀国的农业发展通过改进与普及农用器具、完善水利灌溉等系列措施不仅有效提高了农业生产效率，而且对农业生产的持续性发展，甚至是蜀国地区的经济结构都起到重要的作用，继而对后世产生了巨大影响。"
ID000386 "巴蜀屯田"
ID000387 "蜀地屯田历史悠久，最早可追溯至三国时期蜀国为争霸而圈定的大片屯田区域"
ID000388 "水利灌溉"
ID000389 "大量的水利设施保障了地区农业用水，大大稳定了农业产量"
ID000390 "防河堰"
ID000391 "既能造福当代人民，又能够成为宝贵的遗产荫蔽后人。"
ID000392 "苗蛮入户"
ID000393 "巴蜀地区森林广阔，苗蛮部族众多，收编少数族裔既能稳定地区政局，同时也带来了一定的农业人口"
ID000394 "仓庾相联"
