Chunk 5 sent to API:
ID000400 "天府之国"
ID000401 "巴蜀之地，成都平原，天府之国。"
ID000402 "魏博军"
ID000403 "#F 藩镇之强，始于河北，而魏博为尤，魏博者，天下强悍之区也。#!"
ID000404 "魏博军"
ID000405 "藩镇之强，始于河北，而魏博为尤，魏博者，天下强悍之区也。"
ID000406 "城墙"
ID000407 "石墙和令人生畏的城堡塔楼提供极佳保护，免受劫掠和围攻。建造的防御工事越多，受工事保护的城镇就越难被攻克。"
ID000408 "城墙"
ID000409 "由墙体和其它辅助军事设施构成的军事防线，是令攻城者头疼的存在。"
ID000410 "女墙"
ID000411 "城墙上面呈凹凸形的小墙，建于城墙顶的内侧，能有效庇护城头的守军。"
ID000412 "壕沟"
ID000413 "用于军事防御并且通常将挖掘出来的泥土堆在它前面作为土方的狭长沟，可以迟滞敌方攻城速度，为守城方带来些许优势。"
ID000414 "羊马墙"
ID000415 "为防守御敌而在城外筑的类似城圈的工事，尤其是北方冬季护城河结冰之后，位于大城墙之外的羊马城首当其冲，成为第一道防御工事。"
ID000416 "马面"
ID000417 "所谓马面，指的是一长段城墙中相隔一定距离向城墙外侧突出的墩台，因为其形状狭长而称之为马面。一般布置步弓手等远程兵种于其上，两个马面与其间的一段城墙即可对攻城方形成由上而下的三面夹击之势，是一种简单而行之有效的防御建筑。"
ID000418 "瓮城"
ID000419 "为了加强城堡或关隘的防守，而在城门外（亦有在城门内侧的特例）修建的半圆形或方形的护门小城。通常与所保护的城门不在同一直线上，以防攻城槌等武器的进攻。"
ID000420 "梢砲"
ID000421 "将此类中型抛石机灵活布置于城内，使用得当可以对攻城方施以毁灭性的打击，若是石丸凑巧击中对方的楼车，则可以大大挫伤其锐气。"
ID000422 "角楼"
ID000423 "角楼是建在角台上的阁楼建筑，是城墙防御工程的重要组成设施，起瞭望与防御作用。知己知彼方能百战不殆，登角楼而望远能及时察觉攻城方的动向，不至于陷入被动。"
ID000424 "校场"
ID000425 "#F 亦作“校塲”。古时操练或比武的场地。#!"
ID000426 "校场"
ID000427 "一支军队的强大必然离不开长期的操练，这片场地正好可以用于练兵。"
ID000428 "系统性训练"
ID000429 "合理规划训练内容与强度，加以分明的赏罚制度，快速整备军纪不成问题。"
ID000430 "大阅兵"
ID000431 "与基层军官和底层小兵混个脸熟并不是难事，在适当的时机检阅部队，军队士气将大大提升。\n\n\n##解锁大阅兵决议##"
ID000432 "军团训练场"
ID000433 "军队训练场不仅容纳了为大规模征召兵设计的房屋，也与大片供他们训练备战的场地相连。"
ID000434 "军用空地"
ID000435 "大片经过处理的土地等待着征召兵的到来，给营帐和训练提供足够的空间。"
ID000436 "驿道"
ID000437 "用于转输军用粮草物资、传递军令军情、供军队行进的通道。"
ID000438 "军用小径"
ID000439 "未经硬化的简易路面，可勉强用于小股军队快速通行。\n\n\n[army_commander|E]带领[army|E]途经此地时，行军速度将得到#V $小幅提升$#!。\n\n"
ID000440 "道路硬化"
ID000441 "铺设大量石砖的硬化路面，调配一定人手日常维护，保证战时的最佳通行状态。\n\n\n[army_commander|E]带领[army|E]途经此地时，行军速度将得到#V $中幅提升$#!。\n\n"
ID000442 "交通要道"
ID000443 "四通八达的军事要道，无论多么庞大的军队都能安然通过。\n\n\n[army_commander|E]带领[army|E]途经此地时，行军速度将得到#V $大幅提升$#!。\n\n"
ID000444 "驿道"
ID000445 "用于转输军用粮草物资、传递军令军情、供军队行进的通道。"
ID000446 "军用小径"
ID000447 "未经硬化的简易路面，可勉强用于小股军队快速通行。\n\n\n[army_commander|E]带领[army|E]途经此地时，行军速度将得到#V $小幅提升$#!。\n\n"
ID000448 "道路硬化"
ID000449 "铺设大量石砖的硬化路面，调配一定人手日常维护，保证战时的最佳通行状态。\n\n\n[army_commander|E]带领[army|E]途经此地时，行军速度将得到#V $中幅提升$#!。\n\n"
ID000450 "交通要道"
