Chunk 11 sent to API:
ID001000 #F 全能的立陶宛马上弓箭手，在倾泻完全部箭矢后仍可与敌人近战肉搏#!
ID001001 与你拥有相同[culture|E][heritage|E]的[vassals|E]更有可能加入[independence_factions|E]和[claimant_factions|E]，这不是一件坏事，起码在你还比较弱小的时候不是。
ID001002 该[culture|E]的人民只信服诺亚后裔的统治，他们更有可以加入到反抗异[culture|E]统治者的[factions|E]中去。
ID001003 自身[culture|E]拥有该[innovations|E]的角色可以通过与特定[culture|E]的角色结盟以招募强大的特色[men_at_arms|E]
ID001004 大金
ID001005 大金
ID001006 完颜
ID001007 大金
ID001008 岁币
ID001009 上层的无能由下层买单。
ID001010 燕云十六州
ID001011 立陶宛
ID001012 波兰
ID001013 可以在单场战争中为自己索取多个[claims|E]
ID001014 中东、波斯
ID001015 僧伽罗
ID001016 马槊
ID001017 大迁徙入侵
ID001018 大迁徙入侵
ID001019 大迁徙
ID001020 你舍弃了从前的那片天地，将你的人民和畜群迁徙至此，新的统治，开始了。
ID001021 大迁徙之后
ID001022 这片土地上的部分资源随着一次大迁徙被人为转移走了。
ID001023 商议同盟
ID001024 通过陈述利害关系来与[recipient.GetTitledFirstNameNoTooltip]铸就同盟——草原势力需要整合！
ID001025 相同[cultural|E]：$VALUE|=+0$
ID001026 @weak_hook_icon! [hook|E] 可用
ID001027 @weak_hook_icon! [hook|E] 可用
ID001028 商议同盟
ID001029 商议同盟（游牧臣属）
ID001030 通过陈述利害关系来与[recipient.GetTitledFirstNameNoTooltip]铸就同盟——促进某些共同目标的达成！
ID001031 @weak_hook_icon! [hook|E] 可用
ID001032 部落联盟
ID001033 通过陈述利害关系来与[recipient.GetTitledFirstNameNoTooltip]铸就臣属关系——促进某些共同目标的达成！
ID001034 [CHARACTER.GetShortUINamePossessive]对[TARGET_CHARACTER.GetShortUIName]的好感：$VALUE|=+0$
ID001035 你们的军力差异：$VALUE|=+0$
ID001036 外交与同盟者：$VALUE|=+0$
ID001037 有重大外部威胁：$VALUE|=+0$
ID001038 势单力薄：$VALUE|=+0$
ID001039 野心家：$VALUE|=+0$
ID001040 召集封臣参战
ID001041 [recipient.GetUINameNoTooltip]很有必要与我加入[target.GetName]！
ID001042 召集[recipient.GetUINameNoTooltip]参战，以履行其身为臣属的义务。
ID001043 [war|E]形势：$VALUE|=+0$
ID001044 [war|E]双方兵力差距：$VALUE|=+0$
ID001045 [recipient.GetShortUIName|U]的[army|E]数量过少，参战意义不大：$VALUE|=+0$
ID001046 防御[war|E]：$VALUE|=+0$
ID001047 是[powerful_vassals|E]：$VALUE|=+0$
ID001048 临近封臣同僚：$VALUE|=+0$
ID001049 草场：$VALUE|=+0$
ID001050 [recipient.GetShortUIName|U]的[martial|E][skill|E]：$VALUE|=+0$
ID001051 松散部落：$VALUE|=+0$
ID001052 有限部落权威：$VALUE|=+0$
ID001053 高部落权威：$VALUE|=+0$
ID001054 绝对部落权威：$VALUE|=+0$
ID001055 [actor.GetShortUIName|U]的[prestige_level|E]：$VALUE|=+0$
ID001056 [recipient.GetShortUIName|U]的领土在[actor.GetShortUIName|U]战败后可能丢失：$VALUE|=+0$
ID001057 好战[ethos|E]：$VALUE|=+0$
ID001058 集体[ethos|E]：$VALUE|=+0$
ID001059 [recipient.GetShortUIName|U]正忙于其他[war|E]：$VALUE|=+0$
ID001060 [actor.GetShortUIName|U]与[recipient.GetShortUIName|U]的[prestige|lE]总量差异：$VALUE|=+0$
ID001061 [recipient.GetShortUIName|U]的[prestige_level|E]：$VALUE|=+0$
ID001062 同[dynasty|E]：$VALUE|=+0$
ID001063 是你的[close_family_member|E]：$VALUE|=+0$
ID001064 [recipient.GetShortUIName|U]对[war|E]另一方的好感：$VALUE|=+0$
ID001065 [recipient.GetShortUIName|U]被这场战争波及：$VALUE|=+0$
ID001066 [actor.GetShortUIName|U]是ai：$VALUE|=+0$
ID001067 [recipient.GetShortUIName|U]是你的[friend|E]：$VALUE|=+0$
ID001068 [recipient.GetShortUIName|U]是你的[best_friend|E]：$VALUE|=+0$
ID001069 [recipient.GetShortUIName|U]是[children|E]：$VALUE|=+0$
ID001070 [recipient.GetShortUIName|U]是一名[prisoners|lE]：$VALUE|=+0$
ID001071 [recipient.GetShortUIName|U]的兵力未恢复：$VALUE|=+0$
ID001072 [recipient.GetShortUIName|U]曾应召参战过：$VALUE|=+0$
ID001073 [recipient.GetShortUIName|U]完成过你安排的任务：$VALUE|=+0$
ID001074 好战：$VALUE|=+0$
ID001075 封臣立场：追名逐利：$VALUE|=+0$
ID001076 封臣立场：本乡本土：$VALUE|=+0$
ID001077 召集加入战争（游牧同盟）
ID001078 [war|E]另一方是[recipient.GetShortUIName|U]的[liege|E]：$VALUE|=+0$
ID001079 [recipient.GetShortUIName|U]的领土在[actor.GetShortUIName|U]战胜后可能丢失：$VALUE|=+0$
ID001080 头人
ID001081 [Title.GetNameNoTier]的头人
ID001082 #T 安排一位头人\n花费:\n200 [gold_i]\n500 [prestige_i]#!
