Chunk 1 sent to API:
ID000000 百越雄心
ID000001 百越泛指东亚沿海即大河边栖息的族群，他们曾是东亚大陆最早的定居者。
ID000002 千岛之王
ID000003 南岛诸族穿梭于千万岛屿，同潮汐与风暴朝昔相伴，主宰着日光之下的海域。
ID000004 白山黑水
ID000005 兴安岭、长白山、嫩江和黑龙江流域滋养着诸多部落，在柳树娘娘的庇佑下，他们滋生壮大，并一波波走出森林。
ID000006 丛林之主
ID000007 从哀牢山到武夷山，散布着剽勇的采猎族群，蚩尤争霸中原之事已成传说，而他们从未遗落光荣。
ID000008 武运昌隆
ID000009 大和人坚信，从神话时代起，自己受命于天；落花一瞬，哀乐有时，抚琴千日，剑心合一。
ID000010 山高水丽
ID000011 与中原史官认定的濊貊族系不同，高丽诸族自诩檀君之后，并曾由扶余后裔的高句丽中兴。
ID000012 苍狼白鹿
ID000013 敕勒川，阴山下。天似穹庐，笼盖四野。天苍苍，野茫茫。风吹草低见牛羊。
ID000014 宗法传统
ID000015 为了大规模密集劳作，人们聚族繁衍，厚生重死，在宗族的约束中生活，父辈拥有至高的权威，奉行家族嫡长子世袭制，不得毁伤肌体，首先孝敬亲族进而推己及人，违反宗法者则人尽可鄙。
ID000016 实行可指认继承人的嫡长子世袭制
ID000017 车书万里
ID000018 车同轨、书同文、行同伦。早熟的大一统中央集权制度，可以组织大规模生产，而至高无上的皇权占有和处置一切。
ID000019 可以招募[GetMaA('mangudai').GetName][men_at_arms|E]
ID000020 可以招募[GetMaA('asia_tunguse_ss').GetName][men_at_arms|E]
ID000021 可以招募[GetMaA('samurai').GetName][men_at_arms|E]
ID000022 可以招募[GetMaA('java_warrior').GetName][men_at_arms|E]
ID000023 可以招募[GetMaA('china_east_ms').GetName][men_at_arms|E]
ID000024 可以招募[GetMaA('china_south_wd').GetName][men_at_arms|E]
ID000025 契丹军制
ID000026 太宗选天下精甲三十万为皮室军。初，太祖以行营为宫，选诸部豪健千馀人，置为腹心部……则皮室军自太祖时已有，即腹心部是也，太宗增多至三十万耳。
ID000027 艨艟斗舰
ID000028 千寻铁锁沉江底，一片降幡出石头。
ID000029 独木舟
ID000030 道不行，乘桴浮于海。
ID000031 两京禁卫
ID000032 暂辍清斋出太常，空携诗卷赴甘棠。\n府公既有朝中旧，司马应容酒后狂。\n案牍来时唯署字，风烟入兴便成章。\n两京大道多游客，每遇词人战一场。
ID000033 吴钩
ID000034 汉鼎不烹曹操肉，吴钩空断伍员头。
ID000035 幽州良驹
ID000036 文法奸酋引骑兵，飞随银鹘弓刀满。
ID000037 高丽猎手
ID000038 高丽其地，山广林丰；其人擅制围猎之器，尤擅制弓，盖以为军用，多良弓好手。
ID000039 西蜀连弩
ID000040 昔闻天兵入西蜀，鞞鼓乱挝裂岩谷。
ID000041 中原军制
ID000042 醉卧沙场君莫笑，古来征战几人回。
ID000043 陌刀
ID000044 霜矛雪甲寒如水，候卒何由知首尾。
ID000045 下克上
ID000046 在现有制度下运用各种手段让自己取代上级。
ID000047 武士崛起
ID000048 武士们伴随着社会的混乱和皇权衰落的过程而出现。
ID000049 足轻
ID000050 足轻是日本古代最低等的步兵之称呼，他们平常从事劳役，战时成为步卒。
ID000051 高丽参
ID000052 大补元气，生津安神，上国独爱之。
ID000053 高丽弓
ID000054 古高丽的最强战力，少有的亮点之一。
ID000055 别班武
ID000056 高丽为对抗女真入侵而精心打造的对骑兵部队。
ID000057 蒙古马
ID000058 蒙古马体形矮小，其貌不扬，头大颈短，体魄强健，胸宽鬃长，皮厚毛粗，能吃苦，适应能力强，能抵御西伯利亚暴雪；能扬蹄踢碎狐狼的脑袋。
ID000059 回鹘轻骑
ID000060 回鹘人虽与突厥各部不和，但仍保有传统的牧居生活，他们借由当地所产的哈萨克马组成了强有力的骑兵部队，用以护卫陆上商队的安全。
ID000061 哈萨克马
ID000062 产于天山北坡、准噶尔西部山地和阿尔泰山西段一带的马种。骨骼粗实、皮厚毛密，鬃、鬣、尾毛浓密，体型较粗重。外貌匀称，有良好的兼用型结构。是在粗放的群牧饲养条件下形成的一个古老地方马种。
ID000063 喜马拉雅战士
ID000064 我们早已适应高原山地间崎岖的地形与稀薄的空气，外来者难以忍受这里的环境，更不足以对我们造成威胁。我们的战士穿梭于群山之间，俯瞰着入侵者一个个倒下。高原是上天赐予的屏障，外来者入藏举步维艰，但同时，我们的战士下到低地也会有严重的不良反应。
ID000065 河曲马
ID000066 河曲马是一个古老而优良的地方马种，体形高大，背脊平坦，挽乘兼顾，持久耐劳，并且适应当地地理与生态环境和抗病能力强，早在秦汉时期就被作为战马使用，在历史上常用它作为贡礼。
ID000067 鲜卑铁骑
ID000068 吐谷浑保留下来的鲜卑传统之一，自北魏孝文帝起，历任统治者都会悉心组建重装骑兵部队以震慑周边宵小。
ID000069 吐谷浑甲骑具装
ID000070 人马具甲的吐谷浑武士，保留着良好的鲜卑传统，是冲阵杀敌的好手。
ID000071 具装甲骑
ID000072 人马具甲的重装武士，依照古老的战斗传统冲阵杀敌。
ID000073 突厥重骑兵
ID000074 西突厥是马背上的民族，自突厥崛起时代保留下来的冶铁铸造工艺遇上中亚地区丰富的铁矿资源造就了这支名噪一时的重装骑兵部队，他们是草原上的恶狼，是周边文明的噩梦。
ID000075 突厥重骑兵
ID000076 西突厥是马背上的民族，自突厥崛起时代保留下来的冶铁铸造工艺遇上中亚地区丰富的铁矿资源造就了这支名噪一时的重装骑兵部队，他们是草原上的恶狼，是周边文明的噩梦。
ID000077 库曼部落
ID000078 库曼人的联合之法无比强大，各个部族的强大骑兵均为我所用。
ID000079 库曼基普切克
ID000080 来自各个部族的轻装库曼骑兵，以其高机动性而著称。
ID000081 木制围栏
ID000082 我们就地取材在定居点附近大量部署木制围栏，这能很好的阻拦入侵者的步伐。
ID000083 阿克速
ID000084 人马具甲的保加尔武士，以密集阵型发起冲锋，最大程度地发挥他们的力量和速度。
ID000085 昆诺
ID000086 轻装上阵的马扎尔战士，他们乘马踏来之时整个潘诺尼亚都为之颤抖。
ID000087 洛沃什
ID000088 英勇的披甲马扎尔骑士，既能在远处配合轻骑发射箭雨，又能在战阵焦灼时发起冲锋。
ID000089 武装民兵
ID000090 稍加训练，拥有简易武备的轮班民兵，队伍中混有少量弓箭手，但战斗力依旧不佳。
ID000091 塞凯伊弓骑兵
ID000092 久居潘诺尼亚的塞凯伊弓骑兵，是侧翼扰敌和追杀溃军的好手。
ID000093 伽色尼战象
ID000094 引进自印度的战争巨兽，经过长期的驯养与磨合逐渐适应了战场上的噪音与长矛，厚实的象皮配上全身防护的铁甲，他们能够无视猛烈的攻击并以万钧之势冲垮敌军。
ID000095 伽色尼战象
ID000096 引进自印度的战争巨兽，经过长期的驯养与磨合逐渐适应了战场上的噪音与长矛，厚实的象皮配上全身防护的铁甲，他们能够无视猛烈的攻击并以万钧之势冲垮敌军。
ID000097 伽色尼战象
ID000098 引进自印度的战争巨兽，经过长期的驯养与磨合逐渐适应了战场上的噪音与长矛，厚实的象皮配上全身防护的铁甲，他们能够无视猛烈的攻击并以万钧之势冲垮敌军。
ID000099 武士道
ID000100 毫不留念的死，毫不顾忌的死，毫不犹豫的死。
ID000101 渔猎
ID000102 小到鱼虾鳖蟹贝、大到捕鲸，战海兽，这是一种古老的行当。
ID000103 逐草而居
ID000104 古代游牧民族生活的主要特征之一，一生追逐草原，熟知草原上的所有事物。
ID000105 该[culture|E]的角色带领[army|E]途经#V $草原$#!或#V $平原$#!时，行军速度将大幅提升
ID000106 苗疆巫蛊
ID000107 先民的伟大智慧。
ID000108 蚩尤血脉
ID000109 传说中制造兵器的人，又传为主兵之神，与黄帝、炎帝并称中华三祖 ，被诸多苗人认为祖先。其后衍生出的苗人之凶悍团结之精神为世人所赞叹。
ID000110 阿伊努部族战士
ID000111 阿伊努人自称“乌塔里”，即“伙伴”，他们珍视并肩作战的族人，并以此在日本列岛的诸多纷争中艰难求生。
ID000112 东北亚骑射手
ID000113 充分适应东北亚茂密森林的骑射战士，比之草原上的其他游牧势力更加适应当地战争环境。
ID000114 骑射手
ID000115 充分适应东北亚茂密森林的骑射战士，比之草原上的其他游牧势力更加适应当地战争环境。
ID000116 防人
ID000117 为防临国威胁，从边区农村招募的临时性兵士。
ID000118 徒武者
ID000119 杀人、抢劫、强盗即为武士。
ID000120 枪足轻
ID000121 平常从事劳役，战时成为步卒。
ID000122 北面武士
ID000123 驻在院御所北面之下，守护上皇、供奉御幸的武士。
ID000124 和弓手
ID000125 大和民族传统弓道在战场上的延续。
ID000126 薙刀郎党
ID000127 使用长而锋利的薙刀作为武器，在战场上或结阵阻敌或分散掩杀，是相当难缠的对手。
ID000128 高丽弓手
ID000129 娴熟的弓手与猎人，穿行于朝鲜半岛复杂的山地森林之间，运用高超的射击技术予以敌人痛击。
ID000130 左别抄
ID000131 技艺纯熟的带盾轻步兵，知道如何避开飞来的矢雨。
ID000132 别班武
ID000133 为对抗女真人所创的精锐重步兵部队，是对付骑兵的好手。
ID000134 花郎
ID000135 少年高丽贵族自幼习武，不仅射艺超群，容貌仪态更为世人所赞叹。
ID000136 禁军
ID000137 独属于皇帝的军队，职责是保卫皇宫以及皇帝本人，经过层层选拔，武艺极为高强。
ID000138 北衙禁军
ID000139 拱卫京师的强军劲旅。
ID000140 羽林军
ID000141 直属于帝王，担任护卫帝王或皇宫、首都警备任务的军队。
ID000142 厢军
ID000143 属地方常备军，是禁军主要的来源之一。
ID000144 藩镇兵
ID000145 各道节度使，都团练使统领的藩镇军团。
ID000146 边军
ID000147 为防外敌，征募诸边镇军户参战。
ID000148 地方军
ID000149 各地自行征募的兵卒，质量良莠不齐。
ID000150 陌刀队
ID000151 陌刀队。
ID000152 乡勇
ID000153 临时招募的地方乡兵，随军战守，各自成营。
ID000154 苗人武士
ID000155 苗人全民皆兵，遇到突发的战事，苗人武士便会自发携带武器粮食在他们的“老虎汉”（武士首领）的率领下奔赴战场。
ID000156 水步师
ID000157 由擅长水战的南方步兵组成，负责水陆并进，保卫河道交通。必要时沿河网密道穿插深入，给予敌军意外打击。
ID000158 象甲士
ID000159 身披厚重象皮战甲的精英战士，不惧敌人的连天箭雨。
ID000160 乌鲁米软剑
ID000161 达嚫印度的传统武术之一，以其迅捷的速度和高超的技巧而闻名。
ID000162 乌鲁米剑士
ID000163 善用软剑的达罗毗荼战士，以极快的速度突入敌阵，对范围内敌人造成巨额伤害。
ID000164 罗阇普特战士
ID000165 骑马作战的刹帝利战士，拉其普特人的弯刀会准确落到敌人头顶。
ID000166 纳亚尔步兵
ID000167 长期修习卡拉里帕亚特武术的达嚫印度战士，手持长矛、默契配合。
ID000168 僧伽罗近卫军
ID000169 忠勇无畏的僧伽罗近卫军团，竭力护卫领主周全。
ID000170 丛林之爪
ID000171 我们模仿丛林之王老虎的爪子制成了这一强大武器——爪刃。
ID000172 爪刃战士
ID000173 南岛茂密丛林中潜伏的魅影，使用迅捷的爪刃割开敌人的咽喉。
