Chunk 2 sent to API:
ID000191 安闲自得
ID000192 生命很重要，快乐更重要。
ID000193 该[culture|E]有$ethos_courtly_name$的[ethos|E]
ID000194 骑士收容
ID000195 骄傲的骑士总是不善于经营自家地产，落魄的他们选择了完全依附于其他富裕的统治者。
ID000196 落魄骑士
ID000197 落魄到除了一身武力别无所有的封建骑士，带领一小队侍从依附在富裕的统治者治下，奢望着再次发迹的一天。
ID000198 可以招募[GetMaA('luopoqishi').GetName]作为[men_at_arms|E]
ID000199 该[culture|E]没有$ethos_spiritual_name$的[ethos|E]
ID000200 陆上商队
ID000201 驼铃声声，岁月悠悠，陆路的贯通催生出了大批的商人，他们走在荒渺的黄沙之间，带来无数异域珍宝。
ID000202 陆上商队
ID000203 驼铃声声，岁月悠悠，陆路的贯通催生出了大批的商人，他们走在荒渺的黄沙之间，带来无数异域珍宝。
ID000204 冰海战士
ID000205 冰洋翻涌，带来了可怕的毁灭者。
ID000206 可以招募[GetMaA('lushangshangdui').GetName]作为[men_at_arms|E]
ID000207 可以招募[GetMaA('binghaizhanshi').GetName]作为[men_at_arms|E]
ID000208 斯拉夫扩张主义
ID000209 斯拉夫人特有的开拓精神，地处苦寒所以向往温软，矛盾重重所以需要扩张。
ID000210 冰海战记
ID000211 血与冰的赞歌，冰海永存。
ID000212 猛安谋克
ID000213 这些原始社会后期由于征掠、围猎的需要而设的军事首领，随着时间的推移逐渐发展为了固定的军事组织。
ID000214 甲骑具装
ID000215 人马具甲的武士是战争的主宰，他们以摧枯拉朽之势横扫万钧。
ID000216 可以招募[GetMaA('jiaqijuzhuang').GetName][men_at_arms|E]
ID000217 该[culture|E]的[knights|E]有资格获得[GetAccoladeType('dfbz_xinzeng_0005_attribute').GetName][accolades|E]
ID000218 甲骑军头
ID000219 甲骑军头
ID000220 先锋具装甲骑
ID000221 先锋具装甲骑
ID000222 亲卫具装甲骑
ID000223 横冲都将
ID000224 横冲都将
ID000225 横冲都
ID000226 横冲都
ID000227 横冲都
