Chunk 3 sent to API:
ID000455 我的演讲跟屎一样，我完了
ID000456 派出军队，让贱民们见识见识刀剑的威力！
ID000457 我的护卫们大步冲向人群，乱刀砍死了几个带头闹事的贱民
ID000458 贱民们的战斗力超乎我的想象，我完了
ID000459 随他们去吧。
ID000460 事情越来越脱离你的控制
ID000461 举行大阅兵
ID000462 我的军队需要我，我的人民需要我，我封臣需要我。\n我精心准备了一场大阅兵，这肯定能起到很大的作用。
ID000463 阅兵进展很顺利
ID000464 准备阅兵！
ID000465 开始吧！
ID000466 大阅兵
ID000467 阅兵现场人头攒动，各部门列好队形等待检阅。我准备了很多份演讲稿，只待阅兵结束就发表慰问词\n但是天色已晚，剩下的时间不多了，我应该先向谁致辞？
ID000468 先从我手下冲锋在前的勇士们开始
ID000469 我应该表现的更加亲近底层战士些
ID000470 没有我亲爱的封臣就没有我的今天！
ID000471 我最英勇的武士们齐声高呼万岁，即使隔了这么远我依旧能感受到他们的热情。
ID000472 亚空间恶魔
ID000473 恐虐放血鬼
ID000474 色孽逐心者
ID000475 成为恐虐神选！
ID000476 血祭血神，颅献颅座！！！\n\n\n解除封印开启大远征（点之前记得存档，后果不可逆，放出什么神仙本人概不负责）
ID000477 血祭血神，颅献颅座！！！
ID000478 血祭血神，颅献颅座！！！
ID000479 成为色孽神选！
ID000480 享受无尽的欢愉吧！！！\n\n\n解除封印开启大远征（点之前记得存档，后果不可逆，放出什么神仙本人概不负责）
ID000481 享受无尽的欢愉吧！！！
ID000482 享受无尽的欢愉吧！！！
ID000483 征召牧民参战
ID000484 应召而来的[GetMaA('caoyuanyoumumin_shijian').GetName]的数量和费用根据你的[realm_size|E]、[martial_skill|E]和#V $当前总兵力$#!决定。
ID000485 为了草原的荣耀！
ID000486 吹响号角！
ID000487 组建瓦兰吉卫队(ai)
ID000488 组建瓦兰吉卫队(ai)
ID000489 组建瓦兰吉卫队(ai)
ID000490 组建瓦兰吉卫队
ID000491 我的忠诚的战士们在哪里？！
ID000492 将有一批瓦兰吉战士慕名而来......\n你的名声在北方人的圈子里大肆传播开来，接下来的20年内都将有[GetMaA('walanjiweidui').GetName][men_at_arms|E]可供你差遣。
ID000493 我需要组建一支强大并且忠诚的禁卫军！
ID000494 我的信使告诉我：北方战士们很快就到！
ID000495 瓦兰吉战士到来
ID000496 一艘又一艘形态各异的长船停靠于港口内，剽悍的北方战士鱼贯而出，他们身上的锁子甲在阳光下折射出血污死寂般的铁黑色，我不敢相信自己的眼睛，这些强大的战士即将为我所用！\n\n我挺挺胸膛，努力摆出一位王者应有的姿态。我试图从他们深凹的眼眶里找出一丝畏惧——对于一位正站在他们面前的活生生的皇帝的畏惧。\n\n这些北方人丝毫不避讳我的目光，就这么直勾勾的与我对视。\n\n天哪！这些人的目光真让人头皮发麻......
ID000497 多么无畏而强大的战士啊......
ID000498 雇佣兵屠城
ID000499 一群疯狂的佣兵洗劫了[county.GetNameNoTierNoTooltip]，他们夺走了当地的一切，没留一个活口......\n很显然，这群佣兵并不满足于我给的酬金
ID000500 该死的，他们是抢到手黄金了，那我的呢！
ID000501 必须严惩！
ID000502 草原动员（ai）
ID000503 烈火与尖刀！！！
ID000504 来啊，传我号令！
ID000505 草原动员
ID000506 我的族人们渴望财富，他们摩拳擦掌，跃跃欲试，很显然，我现在应该将所有能上马的战士都召集起来。
ID000507 烈火与尖刀！！！
ID000508 来啊，传我号令！
ID000509 动员所需的威望和金钱与威望等级，威望总量，军事点数，管理点数，宗族威望等级，总兵力，政体等一系列因素均有关
ID000510 草原动员
ID000511 战士们奔走相告，无以计数的牧民拖家带口来到我的大帐前，无边的烟尘从地平线上升起，所有能上马的战士都汇拢了过来，焦躁与不安的气息四处弥漫，只等我一声令下......
ID000512 我们需要战争！
ID000513 或许我不该这么莽撞......
ID000514 弓骑兵
ID000515 轻骑兵
ID000516 草原突骑
ID000517 突厥重骑兵
