Chunk 6 sent to API:
ID000500 #F 神の前で誓い、武装蜂起を開始するために団結します#!
ID000501 蜂起は成功するだろう
ID000502 僧侶や兵士を動員する
ID000503 僧侶の連隊が武装している
ID000504 组建羽林军
ID000505 #F 玄宗时北衙六军带甲五十万，天下请伏\n今日之朕，比之玄宗如何？#!
ID000506 天命在此！
ID000507 天下请伏
ID000508 盛世当用强兵，组建羽林军！
ID000509 组建羽林军
ID000510 大唐盛世时，通过由长安直抵地中海沿岸的丝绸之路，将古老而灿烂的中华文明传播四海，世界各国的国君、使臣、客商、僧侣、学生、工匠、医生、胡姬纷至沓而来。他们进入大唐帝国的领土，看到那些车水马龙的繁华都市，无不由衷的惊叹。\n今日！\n再造盛唐！
ID000511 我的威名将传遍四海。
ID000512 组建龙武军
ID000513 #F 太宗时选飞骑中骁健之士，组成百骑，作为骑从护卫。武周时将百骑扩编为千骑，中宗时又扩为万骑，分为左右营，置使作为统领。中宗驾崩后，玄宗在万骑将领葛福顺支持下，剿灭韦皇后、安乐公主一党，推举睿宗为帝。玄宗即位后，万骑左右营与左右羽林军并称北门四军。开元二十七年，万骑左右营正式改为左右龙武军#!
ID000514 天命在此！
ID000515 天下请伏
ID000516 盛世当用强兵，组建龙武军！
ID000517 组建龙武军
ID000518 大唐盛世时，通过由长安直抵地中海沿岸的丝绸之路，将古老而灿烂的中华文明传播四海，世界各国的国君、使臣、客商、僧侣、学生、工匠、医生、胡姬纷至沓而来。他们进入大唐帝国的领土，看到那些车水马龙的繁华都市，无不由衷的惊叹。\n今日！\n再造盛唐！
ID000519 我的威名将传遍四海。
ID000520 龙武军
ID000521 振兴马政（ai）
ID000522 振兴马政
ID000523 #F 燕云十六州已被北方游牧民族政权所夺走，大宋建立后，失了燕云这块养育马匹的风水宝地，我们的马政之况越加低下。虽太祖赵匡胤制定了非常健全的马政制度，但随着北宋社稷的安稳，国内各项制度平稳运行，经济文化发达繁荣昌盛，大宋的统治阶级长期处于和平年代，我们似乎已经忘记了战争时期马政的重要性。我们纵情声色，沉迷于纸醉金迷的浮华之中痴迷享乐，即使有前代奠基者培养的良好的牧马地，马源以及完备的马政制度，但当朝的统治阶级对于马政方面确实十分消极而忽视。我们对于马政制度的忽视日益影响着及下的官员的态度，他们所做出的各项于马政并无好处的政令和决策亦是马政此后日益衰败的根本原因。#!
ID000524 推行保马法，泽披后世！
ID000525 推行保马法......
ID000526 颁布保马法，泽披后世！
ID000527 颁布保马法！
ID000528 规定河北、河东、陕西、京东、西五路及开封府界诸县保甲养马，户一匹，物力高而自愿者二匹，给以官马，或官给钱自买。养马户可减免部分赋税。三等以上户十户为一保，四等以下户十户为一社。保户马病死，由养马户单独赔偿；社户马病死，由养马户与其他九户共偿其半。\n\n传朕旨意：颁布保马法！
ID000529 善！
ID000530 你解锁了[GetMaA('majun').GetName][men_at_arms|E]。\n你解锁了[GetMaA('jingsaitieqi').GetName][men_at_arms|E]。
ID000531 地区测试（ai）
ID000532 仁者爱人（ai）
ID000533 仁者爱人（ai）
ID000534 蒙古军团
ID000535 成吉思汗火星兵（ai）
