Chunk 7 sent to API:
ID000600 该死的，他们是抢到手黄金了，那我的呢！
ID000601 必须严惩！
ID000602 草原动员（ai）
ID000603 烈火与尖刀！！！
ID000604 来啊，传我号令！
ID000605 草原动员
ID000606 我的族人们渴望财富，他们摩拳擦掌，跃跃欲试，很显然，我现在应该将所有能上马的战士都召集起来。
ID000607 烈火与尖刀！！！
ID000608 来啊，传我号令！
ID000609 动员所需的威望和金钱与威望等级，威望总量，军事点数，管理点数，宗族威望等级，总兵力，政体等一系列因素均有关
ID000610 草原动员
ID000611 战士们奔走相告，无以计数的牧民拖家带口来到我的大帐前，无边的烟尘从地平线上升起，所有能上马的战士都汇拢了过来，焦躁与不安的气息四处弥漫，只等我一声令下......
ID000612 我们需要战争！
ID000613 或许我不该这么莽撞......
ID000614 弓骑兵
ID000615 #F 游牧部落的弓骑兵可以射出冰雹般的箭雨，同时几乎不可能被追上。#。
ID000616 轻骑兵
ID000617 #F 这些骑兵轻装而敏捷，极善于侧翼夹击，在冲杀溃逃敌军时能造成毁灭性的杀伤。#。
ID000618 草原突骑
ID000619 #F 赤兔无人用，当须吕布骑。吾闻果下马，羁策任蛮儿。#。
ID000620 突厥重骑兵
ID000621 #F 西突厥是马背上的民族，自突厥崛起时代保留下来的冶铁铸造工艺遇上中亚地区丰富的铁矿资源造就了这支名噪一时的重装骑兵部队，他们是草原上的恶狼，是周边文明的噩梦。#。
ID000622 重骑兵
ID000623 #F 这些骑兵身披重甲，全副武装，主宰了开阔平原上的战斗。#!
ID000624 苏格兰高地战士
ID000625 穿梭于苏格兰北部高地的勇猛战士，他们的格子衫上闪耀着不屈之光。
ID000626 凯尔特战士
ID000627 遍布战纹、赤裸上身的凯尔特氏族战士，让不可一世的罗马军团吃尽苦头。
ID000628 盎格鲁-撒克逊民兵
ID000629 这些自由民兵的装备和供给堪称精良，他们平时接受强大的亲卫军的训练与监督，战斗意志格外突出。
ID000630 御卫
ID000631 御卫军拥有整支军队中最精良的装备，他们是王公贵族选拔出来的强大战士。
ID000632 威尔士长弓手
ID000633 这些强大的威尔士弓手个个射艺非凡，他们手中的紫杉长弓每一次翕动都能带走一个敌军士兵的性命。
ID000634 威尔士长弓手
ID000635 这些强大的威尔士弓手个个射艺非凡，他们手中的紫杉长弓每一次翕动都能带走一个敌军士兵的性命。
ID000636 山地游骑兵
ID000637 威尔士山区技艺高超的轻型骑兵，自由驰骋于森林与山地之间。
ID000638 沼泽猎手
ID000639 爱尔兰沼泽遍布，但优秀的骑手总能找到捷径。
ID000640 爱尔兰投石手
