Chunk 8 sent to API:
ID000700 瓦兰吉卫队
ID000701 这支拜占庭皇家近卫军战斗力惊人，他们身披重甲，以惊人的速度砍下一颗又一颗敌人的头颅，他们忠心耿耿，为皇帝陛下荡尽四方之敌。
ID000702 瓦兰吉卫队
ID000703 这支拜占庭皇家近卫军战斗力惊人，他们身披重甲，以惊人的速度砍下一颗又一颗敌人的头颅，他们忠心耿耿，为皇帝陛下荡尽四方之敌。
ID000704 边民卫士
ID000705 为防御周边穆斯林，本军区稍有作战能力的即可入伍，包括强盗与不法分子。他们坚持团队作战，以娴熟的战阵配合而闻名。
ID000706 边境劫掠者
ID000707 为防御周边穆斯林，本军区稍有作战能力的即可入伍，包括强盗与不法分子。他们毫无道德可言，以灵活多变的战斗方式和缺饷后对平民做出的恶行而闻名。
ID000708 投石步兵
ID000709 掷出石块骚扰敌人的轻装投石手，手法娴熟，一击脱离。
ID000710 轻装标枪手
ID000711 轻装出击的投枪手，装备简陋但行动迅速。
ID000712 先锋轻骑
ID000713 以速度和灵活著称的拜占庭轻骑兵，装备有弓箭、标枪，尤其擅长一击脱离的游击战术。
ID000714 营堡护卫
ID000715 长期驻扎在边境堡垒中的重装要塞守卫。
ID000716 长桌游士
ID000717 边境巡逻的轻装骑士，发现敌情即刻向上汇报并密切监视其动向。
ID000718 边境掠骑
ID000719 防备敌军骑兵的快速反应部队，能在第一时间做出反应并上前游击骚扰。
ID000720 安萨尔轻骑
ID000721 这些往来于朝圣之路的骑兵护卫着一批又一批虔诚的信徒。
ID000722 迅捷卫队
ID000723 他们是穆斯林征服叙利亚期间拉什顿军团的一支精锐轻骑兵部队，在大马士革围城战中以惊人的速度扭转了攻势，大败不可一世的拜占庭军队。
ID000724 炉卫
ID000725 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID000726 炉卫
ID000727 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID000728 马穆鲁克重骑兵
