Chunk 1 sent to API:
ID000000 义军头领
ID000001 美食家
ID000002 酒剑仙
ID000003 酒仙
ID000004 茶圣
ID000005 蓬莱仙使
ID000006 监察御史
ID000007 凯瑟琳
ID000008 岁
ID000009 皇太子
ID000010 皇子
ID000011 皇女
ID000012 亲王
ID000013 公主
ID000014 世子
ID000015 王子
ID000016 郡主
ID000017 将军
ID000018 周天子统率的部队为六军
ID000019 春秋时期
ID000020 诸侯大国三军
ID000021 次国二军
ID000022 小国一军
ID000023 以卿统军
ID000024 故称卿为将军
ID000025 战国时
ID000026 始为正式官名
ID000027 在游戏中是指挥一支
ID000028 的角色
ID000029 你的任何
ID000030 或直属
ID000031 都有资格被任命为将军
ID000032 受限于年龄
ID000033 和
ID000034 中
ID000035 将军的
ID000036 极大地影响
ID000037 只要有将军在场
ID000038 就会掷出额外的
ID000039 以增加
ID000040 此外
ID000041 也在战斗内外给军队提供多种不同的额外增益

