 death_shihao.000.e1:0 "神明俨翼，威仪悉备，谥曰钦！"
 death_shihao.000.f1:0 "慈民爱物，协时肇享，谥曰仁！"
 death_shihao.000.g1:0 "深思远虑，绥柔士民，谥曰瑞！"
 death_shihao.000.h1:0 "疏远继位，秉德不回，谥曰绍！"
 death_shihao.000.i1:0 "治民无为，民无能名，谥曰神！"
 death_shihao.000.j1:0 "备道全美，扬善赋简，谥曰圣！"
 death_shihao.000.k1:0 "承命不迁，兵甲亟作，谥曰世！"
 death_shihao.000.l1:0 "大省兆民，追悔前过，谥曰思！"
 death_shihao.000.m1:0 "温良好乐，慈和遍服，谥曰顺！"
 death_shihao.000.n1:0 "正己摄下，执心决断，谥曰肃！"
 death_shihao.000.o1:0 "克启行禩，靖民则法，谥曰太！"
 death_shihao.000.p1:0 "猛以刚果，强义执正，谥曰威！"
 death_shihao.000.q1:0 "帝德运广，经纬天地，谥曰文！"
 death_shihao.000.r1:0 "威强恢远，夸志多穷，谥曰武！"
 death_shihao.000.s1:0 "隆称赫奕，柔德安众，谥曰熙！"
 death_shihao.000.t1:0 "有功安人，敏以敬慎，谥曰熹！"
 death_shihao.000.u1:0 "恭慎无过，小心畏忌，谥曰僖！"
 death_shihao.000.v1:0 "受禄于天，慈惠爱亲，谥曰显！"
 death_shihao.000.w1:0 "圣善周达，博闻多能，谥曰宪！"
 death_shihao.000.x1:0 "惠而内德，知质有圣，谥曰献！"
 death_shihao.000.y1:0 "辟地有德，甲胄有劳，谥曰襄！"
 death_shihao.000.z1:0 "五宗安之，秉德不回，谥曰孝！"
 death_shihao.000.a2:0 "圣善周闻，主义行德，谥曰宣！"
 death_shihao.000.b2:0 "含和无欲，果虑果远，谥曰玄！"
 death_shihao.000.c2:0 "除天地害，施勤无私，谥曰义！"
 death_shihao.000.d2:0 "致果克敌，执心决断，谥曰毅！"
 death_shihao.000.e2:0 "小心昭事，刚克为伐，谥曰翼！"
 death_shihao.000.f2:0 "文德充实，温柔贤善，谥曰懿！"
 death_shihao.000.g2:0 "德华茂着，容仪恭美，谥曰英！"
 death_shihao.000.h2:0 "宽仁得众，愍民惠礼，谥曰裕！"
 death_shihao.000.i2:0 "道德纯一，能思辩众，谥曰元！"
 death_shihao.000.j2:0 "敬慎高亢，合善典法，谥曰章！"
 death_shihao.000.k2:0 "威仪恭明，圣闻周达，谥曰昭！"
 death_shihao.000.l2:0 "明知周通，资辅共就，谥曰哲！"
 death_shihao.000.m2:0 "肇敏行成，能思辩众，谥曰真！"
 death_shihao.000.n2:0 "刚柔不偏，德正应和，谥曰中！"
 death_shihao.000.o2:0 "武而不遂，屡征杀伐，谥曰庄！"


 death_shihao.001.a:0 "先帝好和不争，在国遭忧，谥曰孝愍！"
 death_shihao.001.b:0 "先帝早孤短折，有知夭殇，谥曰孝殇！"
 death_shihao.001.c:0 "先帝礼乐明具，威仪悉备，谥曰钦明广孝！"
 death_shihao.001.d:0 "先帝能修其官，敬宾厚礼，谥曰圣文！"
 death_shihao.001.e:0 "先帝至诚无息，先觉体元，谥曰睿圣至诚！"
 death_shihao.001.f:0 "先帝景物四方，恭仁康定，谥曰睿文孝武！"
 death_shihao.001.g:0 "先帝爱民好治，典礼不愆，谥曰昭文孝端！"
 death_shihao.001.h:0 "先帝经纬天地，道德博闻，谥曰孝文！"
 death_shihao.001.i:0 "先帝贵而好礼，绥柔士民，谥曰神武孝文！"
 death_shihao.001.j:0 "先帝安民大虑，纯行不爽，谥曰简平孝靖！"
 death_shihao.001.k:0 "先帝宽裕有容，心能制义，谥曰端文明武景孝！"
 death_shihao.001.l:0 "先帝圣修式化，刚强直理，谥曰裕文昭武愍孝！"
 death_shihao.001.m:0 "先帝功德盛大，五宗安之，谥曰天皇大圣大弘孝！"
 death_shihao.001.n:0 "先帝勤恤民隐，尊贤敬让，谥曰懿圣景穆！"
 death_shihao.001.o:0 "先帝能绍前业，慈惠爱亲，谥曰圣哲慈孝！"
 death_shihao.001.p:0 "先帝慈仁短折，大省兆民，谥曰孝思！"
 death_shihao.001.q:0 "先帝武定四方，辟土服远，谥曰圣德神功文武！"
 death_shihao.001.r:0 "先帝元德充美，温柔好乐，谥曰宪慈显孝！"
 death_shihao.001.s:0 "先帝泽及万世，柔质慈民，谥曰康靖孝恭！"
 death_shihao.001.t:0 "先帝正直无邪，一德不懈，谥曰昭明光孝！"
 death_shihao.001.u:0 "先帝耆意大虑，由义而济，谥曰昭宣光烈孝！"
 death_shihao.001.v:0 "先帝众方克就，合善典法，谥曰睿武昭愍孝！"
 death_shihao.001.w:0 "先帝宽乐令终，恭己鲜言，谥曰孝安！"
 death_shihao.001.x:0 "先帝渊源流通，安乐抚民，谥曰献敏恭简！"
 death_shihao.001.y:0 "先帝纳民轨物，敬身思戒，谥曰孝端！"
 death_shihao.001.z:0 "先帝政平刑肃，布纲治纪，谥曰圣明安孝！"
 death_shihao.001.a1:0 "先帝光有大功，秉德尊业，谥曰昭文孝武！"
 death_shihao.001.b1:0 "先帝保民耆艾，弥年寿考，谥曰至德和武钦孝！"
 death_shihao.001.c1:0 "先帝圣敬有仪，布德执义，谥曰孝安敬正！"
 death_shihao.001.d1:0 "先帝端重自毖，择善而从，谥曰冲圣嗣孝！"
 death_shihao.001.e1:0 "先帝神明俨翼，威仪悉备，谥曰恭文顺德仁孝！"
