 shihao_suzong_desc:1 "先帝正己摄下，执心决断，谥曰文明武德大圣大宣孝！"
 shihao_taizong_desc:1 "先帝克启行禩，靖民则法，谥曰神功圣德文武！"
 shihao_weizong_desc:1 "先帝猛以刚果，强义执正，谥曰圣神恭肃文武！"
 shihao_wenzong_desc:1 "先帝帝德运广，经纬天地，谥曰元圣昭献孝！"
 shihao_wuzong_desc:1 "先帝威强恢远，夸志多穷，谥曰至道昭肃孝！"
 shihao_xizong_desc:1 "先帝隆称赫奕，柔德安众，谥曰庄靖孝成！"
 shihao_xizong1_desc:1 "先帝有功安人，敏以敬慎，谥曰靖穆庄勤！"
 shihao_xizong2_desc:1 "先帝恭慎无过，小心畏忌，谥曰惠圣恭定孝！"
 shihao_xianzong_desc:1 "先帝受禄于天，慈惠爱亲，谥曰光圣仁孝！"
 shihao_xianzong1_desc:1 "先帝圣善周达，博闻多能，谥曰昭文章武大圣至神孝！"
 shihao_xianzong2_desc:1 "先帝惠而内德，知质有圣，谥曰恭检敬文！"
 shihao_xiangzong_desc:1 "先帝辟地有德，甲胄有劳，谥曰武惠敬穆！"
 shihao_xiaozong_desc:1 "先帝五宗安之，秉德不回，谥曰明圣成孝！"
 shihao_xuanzong_desc:1 "先帝圣善周闻，主义行德，谥曰神聪懿道大孝！"
 shihao_xuanzong1_desc:1 "先帝含和无欲，果虑果远，谥曰至道大圣大明孝！"
 shihao_yizong_desc:1 "先帝除天地害，施勤无私，谥曰文献孝敬！"
 shihao_yizong1_desc:1 "先帝致果克敌，执心决断，谥曰英肃睿哲！"
 shihao_yizong2_desc:1 "先帝小心昭事，刚克为伐，谥曰昭献简恭！"
 shihao_yizong3_desc:1 "先帝文德充实，温柔贤善，谥曰睿文昭圣恭惠！"
 shihao_yingzong_desc:1 "先帝德华茂着，容仪恭美，谥曰宪文肃武睿圣宣孝！"
 shihao_yuzong_desc:1 "先帝宽仁得众，愍民惠礼，谥曰文惠明孝！"
 shihao_yuanzong_desc:1 "先帝道德纯一，能思辩众，谥曰明道崇德文宣孝！"
 shihao_zhangzong_desc:1 "先帝敬慎高亢，合善典法，谥曰神圣英孝！"
 shihao_zhaozong_desc:1 "先帝威仪恭明，圣闻周达，谥曰圣穆景文孝！"
 shihao_zhezong_desc:1 "先帝明知周通，资辅共就，谥曰齐圣昭孝！"
 shihao_zhenzong_desc:1 "先帝肇敏行成，能思辩众，谥曰章圣元孝！"
 shihao_zhongzong_desc:1 "先帝刚柔不偏，德正应和，谥曰大和大圣大昭孝！"
 shihao_zhuangzong_desc:1 "先帝武而不遂，屡征杀伐，谥曰光圣神闵孝！"



 shihao_nickname_decision:0 "添加绰号"
 shihao_nickname_decision_desc:0 "取一个你自己选择的绰号"
 shihao_nickname_decision_confirm:0 "添加一个自定义绰号"
 shihao_nickname_decision_tooltip:0 "添加一个你自己选择的自定义绰号"
 shihao_nickname_decision_custom_tooltip.1:0 "移除当前绰号，如果有"
 shihao_nickname_decision_custom_tooltip.2:0 "开启一个可以给自己输入新绰号的窗口"





# Goguryeo
nickname_Dongmyeongseongwang:0 "东明圣王"
nickname_Yurimyeongwang:0 "琉璃明王"
nickname_Daemusinwang:0 "大武神王"
nickname_Minjungwang:0 "闵中王"
nickname_Mobonwang:0 "慕本王"
nickname_Taejodaewang:0 "太祖大王"
nickname_Chadaewang:0 "次大王"
nickname_Sindaewang:0 "新大王"
nickname_Gogukcheonwang:0 "故国川王"
nickname_Sansangwang:0 "山上王"
nickname_Dongcheonwang:0 "东川王"
nickname_Jungcheonwang:0 "中川王"
nickname_Seocheonwang:0 "西川王"
nickname_Bongsangwang:0 "烽上王"
nickname_Micheonwang:0 "美川王"
nickname_Gogugwonwang:0 "故国原王"
nickname_Sosurimwang:0 "小兽林王"
nickname_Gogugyangwang:0 "故国壤王"
nickname_Gwanggaetodaewang:0 "广开土好太王"
nickname_Jangsuwang:0 "长寿王"
nickname_Munjamyeongwang:0 "文咨明王"
nickname_Anjangwang:0 "安藏王"
nickname_Anwonwang:0 "安原王"
nickname_Yangwonwang:0 "阳原王"
nickname_pyeongwonwang:0 "平原王"
nickname_Yeongyangwang:0 "婴阳王"
nickname_Yeongnyuwang:0 "荣留王"
nickname_Bojangwang:0 "宝藏王"



## 自动谥号（弃用） ##

shihao_1:0 "元德"
shihao_2:0 "圣武"
shihao_3:0 "神尧大光孝"
shihao_4:0 "文武大广孝"
shihao_5:0 "天皇大弘孝"
shihao_6:0 "孝敬"
shihao_7:0 "大和大昭孝"
shihao_8:0 "玄真大兴孝"
shihao_9:0 "大和大昭孝"
shihao_10:0 "玄真大兴孝"
shihao_11:0 "至道大明孝"
shihao_12:0 "奉天"
shihao_13:0 "明德大宣孝"
shihao_14:0 "承天"
shihao_15:0 "睿文孝武"
shihao_16:0 "神武孝文"
shihao_17:0 "至德大安孝"
shihao_18:0 "圣神章武孝"
shihao_19:0 "睿圣文惠孝"
shihao_20:0 "睿武昭愍孝"
shihao_21:0 "元圣昭献孝"
shihao_22:0 "至道昭肃孝"
shihao_23:0 "圣武献文孝"
shihao_24:0 "圣穆景文孝"
shihao_25:0 "章敬"
shihao_26:0 "浑元昭安"
shihao_27:0 "立极文穆"
shihao_28:0 "无上孝明高"
shihao_29:0 "昭武睿圣"
shihao_30:0 "宪肃宣孝"
shihao_31:0 "钦仁圣孝"
shihao_32:0 "英烈钦仁圣孝"
shihao_33:0 "睿武昭愍孝"
shihao_34:0 "圣穆景文孝"
shihao_35:0 "惠圣恭定孝"
shihao_36:0 "睿哲明孝"
shihao_37:0 "神圣睿哲明孝"
shihao_38:0 "惠元睿明"
shihao_39:0 "纯仁至孝文"
shihao_40:0 "章圣达孝昭"
shihao_41:0 "宽仁纯孝章"
shihao_42:0 "至德广孝睿"
shihao_43:0 "昭宪广孝睿"
shihao_44:0 "显德崇孝景"
shihao_45:0 "明定章圣元孝"
shihao_46:0 "明定元孝"
shihao_47:0 "简恭睿德"
shihao_48:0 "崇肃宏德纯"
shihao_49:0 "至仁大德敬"
shihao_50:0 "弘文思孝毅"
shihao_51:0 "弘文思孝毅"
shihao_52:0 "洪仁大孝肃"
shihao_53:0 "纯德弘孝庄"
shihao_54:0 "安仁止孝显"
shihao_55:0 "渊仁懿孝贞"
shihao_56:0 "靖穆庄勤悊"
shihao_57:0 "敦仁懋孝烈"
shihao_58:0 "温恭仁孝简"
shihao_59:0 "敏仁广孝襄"
shihao_60:0 "达仁闵孝节"
shihao_61:0 "裕昭愍孝"
shihao_62:0 "烈仁安孝"
shihao_63:0 "圣明安孝"
shihao_64:0 "孝恭懿圣"
shihao_65:0 "至明大孝"
shihao_66:0 "神德圣功至明"
shihao_67:0 "睿烈广孝"
shihao_68:0 "睿烈大明广孝"
shihao_69:0 "端明景孝"
shihao_70:0 "端明景孝"
shihao_71:0 "圣睿恭孝"
shihao_72:0 "仁哲圣睿恭孝"
shihao_73:0 "圣哲慈孝"
shihao_74:0 "温顺圣哲慈孝"
shihao_75:0 "哲神明圣成孝"
shihao_76:0 "哲神明圣成孝"
shihao_77:0 "慈宪显孝"
shihao_78:0 "齐圣昭孝"
shihao_79:0 "钦睿齐圣昭孝"
shihao_80:0 "慈宪显孝"
shihao_81:0 "昭圣恭惠孝"









############谥号2024.6.26新增##################################

#补充谥号描述
 shihao_gaozu_desc:0 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 覆帱同天，克有天下，谥曰神尧大圣大光孝\n\n贞观九年（635）病逝，初谥太武皇帝（一作“大武皇帝”），高宗上元元年（674），改谥神尧皇帝，玄宗天宝八载，改谥神尧大圣皇帝。天宝十三载（752）， 增谥为神尧大圣大光孝皇帝。"                                                                  
 shihao_taizu_song_desc:0 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 德覆万物，以法正国，谥曰启运立极英武睿文神德圣功至明大孝\n\n初谥英武圣文神德皇帝。大中祥符元年（1008）定谥为启运立极英武睿文神德圣功至明大孝皇帝"
 shihao_taizong_song_desc:0 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 慈惠爱民，昭德有劳，谥曰至仁应道神功圣德文武睿烈大明广孝\n\n初谥神功圣德文武皇帝，后累加谥为“至仁应运神功圣德文武睿烈大明广孝皇帝”"
 shihao_yang_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 好内远礼，肆行劳神，谥曰炀！"
 shihao_shang_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 在国遭忧，短折不成，谥曰殇！"

shihao_guangwu:0 "光武"
shihao_xiaoming:0 "孝明"
shihao_xiaozhang:0 "孝章"
shihao_xiaohe:0 "孝和"
shihao_xiaoshang:0 "孝殇"

shihao_guangwu_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat]兴于匹庶，荡涤天下，诛锄暴乱，兴继祖宗。谥曰光武"
shihao_xiaoming_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 德加百姓，照临四方，谥曰孝明"
shihao_xiaozhang_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 德通神明，温克令仪，谥曰孝章"
shihao_xiaohe_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 五宗安之，敦睦九族，谥曰孝和"
shihao_xiaoshang_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 慈惠爱亲，短折不成，谥曰孝殇"

shihao_xiaoan:0 "孝安"
shihao_xiaoshun:0 "孝顺"
shihao_xiaochong:0 "孝冲"
shihao_xiaozhi:0 "孝质"
shihao_xiaohuan:0 "孝桓"

shihao_xiaoan_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 尊仁爱义，修己宁民，谥曰孝安"
shihao_xiaoshun_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 博施被物，慈仁和民，谥曰孝顺"
shihao_xiaochong_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 遵义安仁，冲夭未识，谥曰孝冲"
shihao_xiaozhi_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] 协时肇享，忠正无邪，谥曰孝质"
