shihao_daozong_liao:0 "Ren Sheng Da Xiao Wen"
shihao_shunzong_liao:0 "Da Xiao Shun Sheng"
shihao_modi_liao:0 "Tian Zuo"

shihao_zhuangjing_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] Victory over enemies and strength of will, majestic presence, posthumous title Zhuangjing"
shihao_jianxian_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] Diligent in virtue, knowledgeable and capable, posthumous title Jianxian"
shihao_xuanjian_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] Virtuous and widely known, able to uphold justice, posthumous title Xuanjian"
shihao_taizu_liao_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] Virtue and achievement widely acclaimed, extolling goodness and simplicity, posthumous title Da Sheng Da Ming Shen Lie Tian\n\nInitially posthumously titled [昇] Emperor Tian, reigning during the 26th year of Tonghe (1008), later modified by the Emperor Shengzong of Liao to Emperor Shengyuan (as recorded in the 'History of Liao' as ‘Da Sheng Da Ming Tian Emperor’). In the 21st year of Chongxi (1052), Emperor Xingzong of Liao further elevated the posthumous title to Da Sheng Da Ming Shen Lie Tian Emperor."
shihao_taizong_liao_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] Following the will to achieve, strong majesty expansive, posthumous title Xiao Wu Hui Wen\n\nIn the 26th year of Tonghe (1008), posthumously titled Emperor Xiao Wu. In the 21st year of Chongxi (1052), the title was elevated to Emperor Xiao Wu Hui Wen."
shihao_yizong_liao_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] Issues properly addressed, moral integrity maintained, posthumous title Wenxian Qin Yi\n\nIn the first year of Datong (947), Shizong retroactively titled his father as ‘Emperor Ranguo’. During the years of Tonghe, the title was modified to 'Wenxian’. In the 20th year of Chongxi (1051), Emperor Xingzong of Liao added the title Wenxian Qin Yi Emperor, temple name Yizong."
shihao_shizong_liao_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] Obedient to commands without change, thriving in all directions, posthumous title Xiao He Zhuang Xian\n\n"
shihao_lihu_liao_desc:1 "During the Tonghe years, Emperor Shengzong of Liao retroactively honored Yelu Lihu with the title Qin Shun Emperor (as recorded in ‘Records of the Khitan State’ as ‘Shouchang Gong Shun Zhao Jian Emperor’).\n\nIn the 21st year of Chongxi (1050), Emperor Xingzong of Liao changed the posthumous title of Yelu Lihu to Zhang Su Emperor."                                                #耶律李胡
shihao_muzong_liao_desc:1 "[CHARACTER.GetShortUINameNoTooltipNoFormat] Upholding virtue and justice, benevolence in governance, posthumous title Xiao An Jing Zheng"
