l_simp_chinese:
 legend_origin: "Legend of Origin"
 legend_origin_name: "$legend_legitimizing_name$"
 legend_origin_desc: "$game_concept_legend_type_desc$"


common_ancestry_name: "[Localize( ancestor_flag )|U]Descendant"
common_ancestry_desc: "[Localize( ancestor_flag )] blood flows within us, granting us the power to create nations."
yellow_emperor: "Yellow Emperor"
yandi: "Flame Emperor"
chiyou: "Chiyou"
pangu: "Pangu"
xia_emperor: "Xia Hou Clan"
lady_sea: "Heavenly Empress"
south_emperor: "Zhurong"
east_emperor: "Taihao"
west_emperor: "Shaohou"
southwest_emperor: "Wangdi"
dankun: "Dangun"
amaterasu: "Amaterasu"
lac_long: "Lạc Long Quân"  #Lạc Long Quân
wuzhu: "Wuzhu"
ashina: "Ashina"

general_origin: "Heaven Father and Earth Mother"
khitan_ancestor: "Descendant of Qishou"
jurchen_ancestor: "Descendant of Kanfu"
mongol_ancestor: "Descendant of Borjigin"
turkic_ancestor: "Descendant of Yizhidinistutu"
uyghur_ancestor: "Descendant of Pugu"
tibetan_ancestor: "Descendant of Gu Tixibuye"
ava_ancestor: "Descendant of Jiulong"
ryukyu_ancestor: "Descendant of Amamikyu"
jiaozhi_ancestor: "Descendant of Xiongwang"
goryeo_ancestor: "Descendant of Hwanung"
chinese_ancestor: "Descendant of Fuxi"
yamato_ancestor: "Descendant of Amaterasu" #於保比屢咩能武智
bai_ancestor: "Descendant of Duan Chicheng"
min_ancestor: "Descendant of Wuzhu"
qiangic_ancestor: "Descendant of Wuyi Yanquan"


legend_benji: "[ancestor.GetDynastyName|U][ancestor.Custom('GetUIGuohao')|U]orthodox"
legend_han: "Great Han Orthodox"
legend_tang: "Great Tang Orthodox"
legend_caowei: "Great Wei Orthodox"
legend_shuhan: "Descendants of Zhao Lie"
legend_dongwu: "Great Wu Orthodox"
legend_taiqiuzhang: "Descendants of Taiqiuzhang"

legend_Qutlugh: "Descendants of Guli Peilu"


 #Temple titles and posthumous names
 Loc_china_GetLegendName: "[Character.Custom('GetUIGuohao')][Character.Custom('GetUImiaohao')][Character.GetNickname][Character.Custom('GetUIchinaTitle')][Character.GetDynasty.GetBaseName|U][Character.GetFirstName|U]"
 OE_Legend_AncestorFullName: "[ancestor.Custom('GetUIGuohao')][ancestor.Custom('GetUImiaohao')][ancestor.GetNickname][ancestor.Custom('GetUIchinaTitle')][ancestor.GetDynasty.GetBaseName|U][ancestor.GetFirstName|U]"
