legend_creature_descent_name: "[Localize( beast )|U]'s son"
legend_creature_descent_desc: "An ancestor once mated with a powerful [Localize( beast )|U], giving birth to our kin."
legend_dragon_descent: "True Dragon Son"
legend_dragon_descent_desc: "Mother Bai once rested by the great marsh, dreaming of an encounter with a deity. At that time, lightning was dark and obscured, and Father Taigong went to look, only to see the dragon merging above. Soon after, she was impregnated and gave birth to the venerable ancestor."
creature: "[ROOT.Char.Custom('CreatureName')]"

legend_auspicious_name: "Auspicious [Localize( god )]"
legend_auspicious_desc: "[Localize( god )]'s manifestation appeared in [ROOT.Legend.GetProtagonist.Custom('OE_GetUINameNotMeNoTooltip')|U]'s dreams, granting [ROOT.Legend.GetProtagonist.GetHerHim] a divine mission."
legend_chronicle_auspicious_motivation: "[Localize( god )|U] spoke to [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')] in the dreamland, bestowing [ROOT.Legend.GetProtagonist.GetHerHim] with a sacred mission. From that moment, [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')|U] has been praying and searching the earth, hoping to grasp the true essence of this mission from [ROOT.Legend.GetProtagonist.GetFaith.PantheonTerm]."
legend_chapter_famous_deed_auspicious: "[ROOT.Legend.GetProtagonist.GetFirstNamePossessive|U]'s journey brought [ROOT.Legend.GetProtagonist.GetHerHim] to a wondrous land, where creatures and even plants were so strange and unique. [ROOT.Legend.GetProtagonist.GetSheHe] even discovered a [Localize( god )|U] that had never been seen before."
legend_chapter_extra_deed_auspicious: "In this land, aberrations ran rampant, and the people suffered from floods and fires. However, through the efforts of [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')] and [ROOT.Legend.GetProtagonist.GetHerHis] followers, these servants of [ROOT.Legend.GetProtagonist.GetFaith.DevilName|U] were driven back to their rightful [ROOT.Legend.GetProtagonist.GetFaith.NegativeAfterLife|U], allowing the people to be free. Because of the good deeds done by [ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')], [ROOT.Legend.GetProtagonist.GetFaith.PantheonTerm3] bore [Localize( god )|U] for [ROOT.Legend.GetProtagonist.GetHerHis], and [ROOT.Legend.GetProtagonist.GetHerHis] divine mission was approaching its zenith."
legend_chapter_conclusion_auspicious: "[ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')|U] ruled justly and devoutly, always following [Localize( god )]'s guidance. The divine plan was fulfilled, and [ROOT.Legend.GetProtagonist.GetSheHe] lived a life full of honor and piety."

#Animals
cat: "Cat"
dog: "Dog"
fox: "Fox"
hare: "Hare"
wolf: "Wolf"
stag: "Stag"
hart: "Hart"
horse: "Horse"
rabbit: "Rabbit"
boar: "Boar"
lion: "Lion"
tiger: "Tiger"
bear: "Bear"
aurochs: "Aurochs"
unicorn: "Unicorn"
dragon: "Dragon"
lynx: "Lynx"
hyena: "Hyena"
roe: "Roe"
gazelle: "Gazelle"
antelope: "Antelope"
leopard: "Leopard"
bison: "Bison"
elk: "Elk"

legend_chronicle_opening_auspicious: "[ROOT.Legend.GetProtagonist.Custom('OE_GetUINameNotMeNoTooltip')|U]'s mother once dreamt [ROOT.Legend.GetProtagonist.Custom('AuspiciousPregnantDream')], and then became pregnant, giving birth to [ROOT.Legend.GetProtagonist.GetHerHim]. On that day, [ROOT.Legend.GetProtagonist.Custom('AuspiciousBirth')]."

Loc_AuspiciousBirth1: "Red light illuminates the room"
Loc_AuspiciousBirth2: "Sound like the crackling of burning coals, stars erupting in all directions"
Loc_AuspiciousBirth3: "White vapor fills the hall"
Loc_AuspiciousBirth4: "Well water overflows violently"
Loc_AuspiciousBirth5: "The alleys smell of strange incense"
Loc_AuspiciousBirth6: "Five stars gather near the guiding star"
Loc_AuspiciousBirth7: "A yellow dragon swims in light"
Loc_AuspiciousBirth8: "The left big toe has a mark forming the character 'Heaven'"
Loc_AuspiciousBirth9: "Groups of mice spit out colorful vapor to form clouds"

Loc_AuspiciousPregnantDream1: "A divine being presents the sun"
Loc_AuspiciousPregnantDream2: "The sun falls into the courtyard, held by hand"
Loc_AuspiciousPregnantDream3: "An angel and myself meet in the orchid" 

china_auspicious: "[ROOT.Legend.GetProtagonist.Custom('China_AuspiciousName')]"
legend_auspicious_mythical_creature: "[ROOT.Legend.GetProtagonist.Custom('RegionalMythicalCreature')|U]"

auspicious_giant_star: "Auspicious Star"
auspicious_colorful_clouds: "Auspicious Colorful Clouds"
auspicious_sweet_rain: "Sweet Dew"
auspicious_yellow_dragon: "Yellow Dragon"
auspicious_qilin: "Qilin"
auspicious_pheonix: "Phoenix"
auspicious_turtle: "Giant Turtle"
auspicious_white_tiger: "White Tiger"
auspicious_white_wolf: "White Wolf"
auspicious_white_deer: "White Deer"
auspicious_white_fox: "White Fox"
auspicious_red_rabbit: "Red Rabbit"
auspicious_black_eagle: "Black Eagle"
auspicious_red_geese: "Red Geese"
auspicious_plump_rice: "Plump Rice"
auspicious_branches_twined: "Twined Branches"
auspicious_five_stars_in_line: "Five Stars in a Line"
auspicious_pearl_in_sea: "Pearl Emerges from the Sea"
auspicious_river_map: "The River Produces a Map, Luo Produces a Book"
auspicious_horse_in_lake: "The Marsh Produces a Divine Horse"
auspicious_Rejuvenation: "Withered Wood Reborn"
