
 legend_creature_descent_name: "[Localize( beast )|U]之子"
 legend_creature_descent_desc: "祖先曾与一只强大的[Localize( beast )|U]交合，产下我们的族人"
 legend_dragon_descent: "真龙天子"
 legend_dragon_descent_desc: "母媪尝息大泽之陂，梦与神遇。是时雷电晦冥，父太公往视，则见交龙于上。已而有娠，遂产高祖。"
 creature: "[ROOT.Char.Custom('CreatureName')]"


 legend_auspicious_name: "祥瑞[Localize( god )]"
 legend_auspicious_desc: "[Localize( god )]的景象显现在[ROOT.Legend.GetProtagonist.Custom('OE_GetUINameNotMeNoTooltip')|U]睡梦中，赋予了[ROOT.Legend.GetProtagonist.GetHerHim]神圣的使命。"
 legend_chronicle_auspicious_motivation: "[Localize( god )|U]在梦境之地对[ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')]说话，赋予[ROOT.Legend.GetProtagonist.GetHerHim]神圣的使命。 从那时起，[ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')|U]一直在祈祷并在大地上搜寻，希望能领悟来自[ROOT.Legend.GetProtagonist.GetFaith.PantheonTerm]的这一使命的真正本质。"
 legend_chapter_famous_deed_auspicious: "[ROOT.Legend.GetProtagonist.GetFirstNamePossessive|U]的旅途将[ROOT.Legend.GetProtagonist.GetHerHim]带入一片新奇的土地，在那里生物甚至植物都是那么陌生特别。[ROOT.Legend.GetProtagonist.GetSheHe]甚至发现了此前从未有人见过的[Localize( god )|U]。"
 legend_chapter_extra_deed_auspicious: "这片土地上妖孽横行，百姓身受水火，但在[ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')]和[ROOT.Legend.GetProtagonist.GetHerHis]的追随者们的努力下，这些[ROOT.Legend.GetProtagonist.GetFaith.DevilName|U]的仆人被赶回了属于他们的[ROOT.Legend.GetProtagonist.GetFaith.NegativeAfterLife|U]，百姓得以自由。因[ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')]所做的善事而，[ROOT.Legend.GetProtagonist.GetFaith.PantheonTerm3]为[ROOT.Legend.GetProtagonist.GetSheHe]生出[Localize( god )|U]，[ROOT.Legend.GetProtagonist.GetHerHis]的神圣使命已接近巅峰。"
 legend_chapter_conclusion_auspicious: "[ROOT.Legend.GetProtagonist.Custom('OE_GetTitledFirstName')|U]公正而虔诚地统治，[ROOT.Legend.GetProtagonist.GetHerHis]处处遵从[Localize( god )]的指引。神圣的计划得以完成，[ROOT.Legend.GetProtagonist.GetSheHe]度过了充满荣誉和虔诚的一生。"

 #Animals
 cat: "猫"
 dog: "犬"
 fox: "狐"
 hare: "野兔"
 wolf: "狼"
 stag: "鹿"
 hart: "鹿"
 horse: "马"
 rabbit: "兔"
 boar: "野猪"
 lion: "狮"
 tiger: "虎"
 bear: "熊"
 aurochs: "原牛"
 unicorn: "麒麟"
 dragon: "龙"
 lynx: "猞猁"
 hyena: "鬣狗"
 roe: "雌鹿"
 gazelle: "瞪羚"
 antelope: "羚羊"
 leopard: "花豹"
 bison: "野牛"
 elk: "驼鹿"


legend_chronicle_opening_auspicious: "[ROOT.Legend.GetProtagonist.Custom('OE_GetUINameNotMeNoTooltip')|U]的母亲曾梦[ROOT.Legend.GetProtagonist.Custom('AuspiciousPregnantDream')]，已而有娠，诞下了[ROOT.Legend.GetProtagonist.GetHerHim]，是日，[ROOT.Legend.GetProtagonist.Custom('AuspiciousBirth')]。"

Loc_AuspiciousBirth1: "赤光照室"
Loc_AuspiciousBirth2: "有声如炉炭之裂，星火四迸"
Loc_AuspiciousBirth3: "白气充庭"
Loc_AuspiciousBirth4: "井水暴溢"
Loc_AuspiciousBirth5: "闾巷闻有异香"
Loc_AuspiciousBirth6: "五星从镇星聚奎"
Loc_AuspiciousBirth7: "黄龙游光中"
Loc_AuspiciousBirth8: "左足指有文成“天”字"
Loc_AuspiciousBirth9: "群鼠吐五色气成云"

Loc_AuspiciousPregnantDream1: "神人捧日以授"
Loc_AuspiciousPregnantDream2: "日坠于庭，以手承之"
Loc_AuspiciousPregnantDream3: "天使与己兰"


#历练chapter ?

#flag后不能再风味化

#廷官 task 寻找祥瑞     祈禳瘟疫   搜寻传奇目击  捉妖   管理谱牒  维护祖庙  祭祀宗庙  封禅  勾引 刺杀 写传奇
#文化推广 传说

#演奏乐器




 china_auspicious: "[ROOT.Legend.GetProtagonist.Custom('China_AuspiciousName')]"
 legend_auspicious_mythical_creature: "[ROOT.Legend.GetProtagonist.Custom('RegionalMythicalCreature')|U]"

auspicious_giant_star: "景星"
auspicious_colorful_clouds: "庆云"
auspicious_sweet_rain: "甘露"
auspicious_yellow_dragon: "黄龙"
auspicious_qilin: "麒麟"
auspicious_pheonix: "凤凰"
auspicious_turtle: "巨龟"
auspicious_white_tiger: "白虎"
auspicious_white_wolf: "白狼"
auspicious_white_deer: "白鹿"
auspicious_white_fox: "白狐"
auspicious_red_rabbit: "赤兔"
auspicious_black_eagle: "苍鸟"
auspicious_red_geese: "朱雁"
auspicious_plump_rice: "嘉禾"
auspicious_branches_twined: "木连理"
auspicious_five_stars_in_line: "五星连珠"
auspicious_pearl_in_sea: "海出明珠"
auspicious_river_map: "河出图 洛出书"
auspicious_horse_in_lake: "泽出神马"
auspicious_Rejuvenation: "枯木再生"


#甘露降、日月光、斗極明、鐘律調、四夷化、孝道至、越裳來、瑞雪、瑞雨、瑞霞、日月合璧、五星連珠、江出大貝、海出明珠、河出馬圖、洛出龜書、陵出黑丹、山出器車、澤出神馬、風不鳴條、海不揚波、混河載清、枯木再生、抱珥之日、同色之星、牛生上齒、狗養斯肫、牛生厥石、鳥狀前赤、陸生蓮花、萬蠶同繭、抱日之氣、覆鼎之雲

#龙首感孕，启母破石，天命玄鸟，履迹而孕，乘舟梦日，梦与神遇，赤光照室，怀胎三年，目有重瞳，掌生文字，头生两角，身有三乳，五色云气，神授药丸，赤焰如火，王母送桃，玄女授书，白马青牛，苍狼白鹿，雷电绕于北斗，生而自言其名，斗牛之墟，甓社巨珠，武陵桃源，观棋烂柯，太白经天，十月之交，天关客星，天再旦于郑，伊洛竭而夏亡，彗星出而授殷人其柄，死伤者皆赤裸
